Data provider	Dataset	Collector name	Field number	GUID	Date collected	Institution code	Collection code	Catalogue No	Basis of record	Image url	Last indexed	Identifier	Identification date	Scientific name	Author	Scientific name (interpreted)	Kingdom	Phylum	Class	Order	Family	Genus	Country	Country (interpreted)	Locality	County	Continent or Ocean	State/Province	Region	Provider country	Latitude	Longitude	Coordinate precision	Cell id	Centi cell id	Min depth	Max depth	Max depth	Min altitude	Max altitude	Altitude precision	GBIF portal url	GBIF webservice url	
European Environment Agency	EUNIS					EEA	EUNIS2	dffjA9zWHPWHYppGGYJUNg==	Unknown		2007-10-10 02:05:19.0			Haliaeetus albicilla	(Linnaeus, 1758)	Haliaeetus albicilla	Animalia	Chordata (Vertebrata)	Aves	Falconiformes	Accipitridae	Haliaeetus					Europe				41.0	23.0	70000	47363	0							http://data.gbif.org/occurrences/22543257	http://data.gbif.org/ws/rest/occurrence/get?key=22543257
European Environment Agency	EUNIS					EEA	EUNIS2	qFT38u2oWZY2UTRIoq45Yg==	Unknown		2007-10-10 02:05:26.0			Haliaeetus albicilla	(Linnaeus, 1758)	Haliaeetus albicilla	Animalia	Chordata (Vertebrata)	Aves	Falconiformes	Accipitridae	Haliaeetus					Europe				41.0	24.0	70000	47364	0							http://data.gbif.org/occurrences/22544454	http://data.gbif.org/ws/rest/occurrence/get?key=22544454
European Environment Agency	EUNIS					EEA	EUNIS2	IECYekEF4ecAoSs/EXk6bQ==	Unknown		2007-10-10 02:05:22.0			Haliaeetus albicilla	(Linnaeus, 1758)	Haliaeetus albicilla	Animalia	Chordata (Vertebrata)	Aves	Falconiformes	Accipitridae	Haliaeetus					Europe				41.0	25.0	70000	47365	0							http://data.gbif.org/occurrences/22543804	http://data.gbif.org/ws/rest/occurrence/get?key=22543804
European Environment Agency	EUNIS					EEA	EUNIS2	X8nwvjUFgFKNExQAbpdZWQ==	Unknown		2007-10-10 02:05:55.0			Haliaeetus albicilla	(Linnaeus, 1758)	Haliaeetus albicilla	Animalia	Chordata (Vertebrata)	Aves	Falconiformes	Accipitridae	Haliaeetus					Europe				41.0	26.0	70000	47366	0							http://data.gbif.org/occurrences/22545053	http://data.gbif.org/ws/rest/occurrence/get?key=22545053
European Environment Agency	EUNIS					EEA	EUNIS2	DgsJwewf4kCGTgwlmNkVuA==	Unknown		2007-10-10 02:05:19.0			Haliaeetus albicilla	(Linnaeus, 1758)	Haliaeetus albicilla	Animalia	Chordata (Vertebrata)	Aves	Falconiformes	Accipitridae	Haliaeetus		Italy			Europe		Southern Europe		42.0	11.0	70000	47711	0							http://data.gbif.org/occurrences/22543267	http://data.gbif.org/ws/rest/occurrence/get?key=22543267
European Environment Agency	EUNIS					EEA	EUNIS2	GZ9ymJ+mAfC8zFLs1Qa6Ew==	Unknown		2007-10-10 02:05:21.0			Haliaeetus albicilla	(Linnaeus, 1758)	Haliaeetus albicilla	Animalia	Chordata (Vertebrata)	Aves	Falconiformes	Accipitridae	Haliaeetus		Bulgaria			Europe		Eastern Europe		42.0	27.0	70000	47727	0							http://data.gbif.org/occurrences/22543663	http://data.gbif.org/ws/rest/occurrence/get?key=22543663
European Environment Agency	EUNIS					EEA	EUNIS2	APpSHQ/4dcJMjxooKp/3Hw==	Unknown		2007-10-10 02:05:18.0			Haliaeetus albicilla	(Linnaeus, 1758)	Haliaeetus albicilla	Animalia	Chordata (Vertebrata)	Aves	Falconiformes	Accipitridae	Haliaeetus		France			Europe		Western Europe		43.0	1.0	70000	48061	0							http://data.gbif.org/occurrences/22543055	http://data.gbif.org/ws/rest/occurrence/get?key=22543055
European Environment Agency	EUNIS					EEA	EUNIS2	FfQJVyjrbhiNwAP+enxfKA==	Unknown		2007-10-10 02:05:20.0			Haliaeetus albicilla	(Linnaeus, 1758)	Haliaeetus albicilla	Animalia	Chordata (Vertebrata)	Aves	Falconiformes	Accipitridae	Haliaeetus		France			Europe		Western Europe		43.0	4.0	70000	48064	0							http://data.gbif.org/occurrences/22543465	http://data.gbif.org/ws/rest/occurrence/get?key=22543465
European Environment Agency	EUNIS					EEA	EUNIS2	ARgnd2aIkT8ChTyQ+gHByw==	Unknown		2007-10-10 02:05:18.0			Haliaeetus albicilla	(Linnaeus, 1758)	Haliaeetus albicilla	Animalia	Chordata (Vertebrata)	Aves	Falconiformes	Accipitridae	Haliaeetus		Italy			Europe		Southern Europe		43.0	10.0	70000	48070	0							http://data.gbif.org/occurrences/22543057	http://data.gbif.org/ws/rest/occurrence/get?key=22543057
European Environment Agency	EUNIS					EEA	EUNIS2	1gDj15lAVQTQBYFUc5at/g==	Unknown		2007-10-10 02:05:15.0			Haliaeetus albicilla	(Linnaeus, 1758)	Haliaeetus albicilla	Animalia	Chordata (Vertebrata)	Aves	Falconiformes	Accipitridae	Haliaeetus					Europe				43.0	12.0	70000	48072	0							http://data.gbif.org/occurrences/22542599	http://data.gbif.org/ws/rest/occurrence/get?key=22542599
