"COREID","DECIMAL_LATITUDE","GEODETIC_DATUM","COORDINATE_UNCERTAINTY_IN_METERS","DECIMAL_LONGITUDE"
"3067","38.10695","WGS84","1000","26.85083"
"3068","37.42000","WGS84","1000","34.56800"
"3069","37.42000","WGS84","1000","34.56800"
"3070","37.42000","WGS84","1000","34.56800"
"3071","37.42000","WGS84","1000","34.56800"
"3072","37.42000","WGS84","1000","34.56800"
"3073","37.07000","WGS84","1000","28.80000"
"3074","37.42000","WGS84","1000","34.56800"
"3075","37.42000","WGS84","1000","34.56800"
"3076","37.42000","WGS84","1000","34.56800"
"3077","37.42000","WGS84","1000","34.56800"
"3078","37.42000","WGS84","1000","34.56800"
"3079","37.42000","WGS84","1000","34.56800"
"3080","37.42000","WGS84","1000","34.56800"
"3081","37.42000","WGS84","1000","34.56800"
"3082","37.42000","WGS84","1000","34.56800"
"3083","37.42000","WGS84","1000","34.56800"
"3084","37.07000","WGS84","1000","28.80000"
"3085","37.42000","WGS84","1000","34.56800"
"3086","37.42000","WGS84","1000","34.56800"
"3087","37.42000","WGS84","1000","34.56800"
"3088","37.42000","WGS84","1000","34.56800"
"3089","37.42000","WGS84","1000","34.56800"
"3090","37.42000","WGS84","1000","34.56800"
"3091","37.42000","WGS84","1000","34.56800"
"3092","37.42000","WGS84","1000","34.56800"
"3093","37.42000","WGS84","1000","34.56800"
"3094","37.07000","WGS84","1000","28.80000"
"3095","37.42000","WGS84","1000","34.56800"
"3096","37.42000","WGS84","1000","34.56800"
"3097","37.42000","WGS84","1000","34.56800"
"3098","37.42000","WGS84","1000","34.56800"
"3099","37.42000","WGS84","1000","34.56800"
"3100","37.40400","WGS84","1000","34.55800"
"3101","37.40400","WGS84","1000","34.55800"
"3102","37.40400","WGS84","1000","34.55800"
"3103","37.40400","WGS84","1000","34.55800"
"3104","37.07000","WGS84","1000","28.80000"
"3105","37.40400","WGS84","1000","34.55800"
"3106","37.40400","WGS84","1000","34.55800"
"3107","37.40400","WGS84","1000","34.55800"
"3108","37.40400","WGS84","1000","34.55800"
"3109","37.40400","WGS84","1000","34.55800"
"3110","37.40400","WGS84","1000","34.55800"
"3111","37.40400","WGS84","1000","34.55800"
"3112","37.40400","WGS84","1000","34.55800"
"3113","37.40400","WGS84","1000","34.55800"
"3114","37.40400","WGS84","1000","34.55800"
"3115","37.07000","WGS84","1000","28.80000"
"3116","37.40400","WGS84","1000","34.55800"
"3117","37.40400","WGS84","1000","34.55800"
"3118","37.40400","WGS84","1000","34.55800"
"3119","37.40400","WGS84","1000","34.55800"
"3120","37.40400","WGS84","1000","34.55800"
"3121","37.40400","WGS84","1000","34.55800"
"3122","37.40400","WGS84","1000","34.55800"
"3123","37.40400","WGS84","1000","34.55800"
"3124","37.40400","WGS84","1000","34.55800"
"3125","37.40400","WGS84","1000","34.55800"
"3126","37.07000","WGS84","1000","28.80000"
"3127","37.40400","WGS84","1000","34.55800"
"3128","37.40400","WGS84","1000","34.55800"
"3129","37.40400","WGS84","1000","34.55800"
"3130","37.40400","WGS84","1000","34.55800"
"3131","37.40400","WGS84","1000","34.55800"
"3132","37.40400","WGS84","1000","34.55800"
"3133","37.40400","WGS84","1000","34.55800"
"3134","37.40400","WGS84","1000","34.55800"
"3135","37.40400","WGS84","1000","34.55800"
"3136","37.40400","WGS84","1000","34.55800"
"3137","37.04000","WGS84","1000","28.76500"
"3138","37.40400","WGS84","1000","34.55800"
"3139","37.40400","WGS84","1000","34.55800"
"3140","37.40400","WGS84","1000","34.55800"
"3141","37.40400","WGS84","1000","34.55800"
"3142","37.40400","WGS84","1000","34.55800"
"3143","37.40400","WGS84","1000","34.55800"
"3144","37.40400","WGS84","1000","34.55800"
"3145","37.40400","WGS84","1000","34.55800"
"3146","37.40400","WGS84","1000","34.55800"
"3147","37.40400","WGS84","1000","34.55800"
"3148","37.07000","WGS84","1000","28.80000"
"3149","37.07000","WGS84","1000","28.80000"
"3150","37.07000","WGS84","1000","28.80000"
"3151","37.40400","WGS84","1000","34.55800"
"3152","37.40400","WGS84","1000","34.55800"
"3153","37.40400","WGS84","1000","34.55800"
"3154","37.40400","WGS84","1000","34.55800"
"3155","37.40400","WGS84","1000","34.55800"
"3156","37.40400","WGS84","1000","34.55800"
"3157","37.40400","WGS84","1000","34.55800"
"3158","37.40400","WGS84","1000","34.55800"
"3159","37.40400","WGS84","1000","34.55800"
"3160","37.40400","WGS84","1000","34.55800"
"3161","37.07000","WGS84","1000","28.80000"
"3162","37.40400","WGS84","1000","34.55800"
"3163","37.40400","WGS84","1000","34.55800"
"3164","37.40400","WGS84","1000","34.55800"
"3165","37.40400","WGS84","1000","34.55800"
"3166","37.40400","WGS84","1000","34.55800"
"3167","37.40400","WGS84","1000","34.55800"
"3168","37.40400","WGS84","1000","34.55800"
"3169","37.40400","WGS84","1000","34.55800"
"3170","37.40400","WGS84","1000","34.55800"
"3171","37.42000","WGS84","1000","34.56800"
"3172","37.42000","WGS84","1000","34.56800"
"3173","37.07000","WGS84","1000","28.80000"
"3174","37.42000","WGS84","1000","34.56800"
"3175","37.42000","WGS84","1000","34.56800"
"3176","37.42000","WGS84","1000","34.56800"
"3177","37.42000","WGS84","1000","34.56800"
"3178","37.42000","WGS84","1000","34.56800"
"3179","37.42000","WGS84","1000","34.56800"
"3180","37.42000","WGS84","1000","34.56800"
"3181","37.42000","WGS84","1000","34.56800"
"3182","37.42000","WGS84","1000","34.56800"
"3183","37.42000","WGS84","1000","34.56800"
"3184","37.07000","WGS84","1000","28.80000"
"3185","37.42000","WGS84","1000","34.56800"
"3186","37.42000","WGS84","1000","34.56800"
"3187","37.42000","WGS84","1000","34.56800"
"3188","37.40400","WGS84","1000","34.55800"
"3189","37.40400","WGS84","1000","34.55800"
"3190","37.82980","WGS84","1000","35.12990"
"3191","37.82980","WGS84","1000","35.12990"
"3192","37.82980","WGS84","1000","35.12990"
"3193","37.82980","WGS84","1000","35.12990"
"3194","37.82980","WGS84","1000","35.12990"
"3195","37.07000","WGS84","1000","28.80000"
"3196","37.82980","WGS84","1000","35.12990"
"3197","37.82980","WGS84","1000","35.12990"
"3198","37.82980","WGS84","1000","35.12990"
"3199","37.82800","WGS84","1000","35.13600"
"3200","37.82800","WGS84","1000","35.13600"
"3201","37.82800","WGS84","1000","35.13600"
"3202","37.82800","WGS84","1000","35.13600"
"3203","37.82800","WGS84","1000","35.13600"
"3204","37.82800","WGS84","1000","35.13600"
"3205","37.82800","WGS84","1000","35.13600"
"3206","37.82800","WGS84","1000","35.13600"
"3207","37.82800","WGS84","1000","35.13600"
