accepitedID	vernacularName	Language	Country
3	שלש-כנפות	Hebrew	Israel
7	Acker-Ringelblume 	German	
7	Åkerringblomma 	Swedish	
7	Akkergoudsbloem 	Dutch	
7	Bileć 	Croat	
7	Field Marigold 	English	
7	Fiorrancio bicolore 	Italian	
7	Fiorrancio selvatico 	Italian	
7	Nechtík roľný 	Slovak	
7	Njivski ognjič 	Slovene	
7	Poljski neven 	Croat	
7	Prstac babji 	Croat	
7	Souci des champs 	French	
7	Souci sauvage 	French	
7	Spavujka 	Croat	
7	Suffejra tar-raba 	Maltese	
7	Zimozelen 	Croat	
7	Календула персидская 	Russian	
7	Նարգիզ պարսկական 	Armenian	
7	צפורני-חתול מצויות 	Hebrew	Israel 
7	צִפָּרְנֵי-חָתוּל מְצוּיוֹת 	Hebrew	Israel 
7	Fleur de tous les mois 	French	
7	Gauchefer 	French	
7	Souci des Vignes 	French	
7	צפורני-חתול מצריות 	Hebrew	Israel 
6	Fiorrancio 	Italian	
6	Goudsbloem 	Dutch	
6	Ringblommor 	Swedish	
6	Ringelblume 	German	
6	Календула 	Russian	
6	Նարգիզ 	Armenian	
6	צפורני-חתול 	Hebrew	Israel 
6	Marigold 	English	
6	Վաղենակ 	Armenian	
