Latitude	Longitude	GUID	lastModified	Family	InstitutionCode	InfraspecificEpithet	Remarks	Collector	Kingdom	Locality	Genus	InfraspecificRank	BasisOfRecord	Phylum	MinimumElevationInMeters	SpecificEpithet	Class	ScientificName	Country	EarliestDateCollected	NomenclaturalCode	CatalogNumber	AuthorYearOfScientificName	StateProvince	Order	Continent	CollectionCode
37.42000	34.56800	d10ce181-ffea-4651-9635-8808c57fc110	Thu Sep 18 14:04:48 CEST 2008	Campanulaceae	BGBM	rigidum		Markus Döring	Plantae	d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2200m	Asyneuma	Subspecies	PreservedSpecimen	Magnoliophyta	2200	rigidum		Asyneuma rigidum subsp. rigidum	TR	1999-07-31 00:00:00.0	ICBN	1047		Nigde	Campanulales	Asia	B
37.42000	34.56800	1bd47cc7-565a-45ac-a593-7657889e05b0	Thu Sep 18 14:04:48 CEST 2008	Caryophyllaceae	BGBM			Markus Döring	Plantae	d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2200m	Silene	Variety	PreservedSpecimen	Magnoliophyta	2200	armena		Silene armena var. armena	TR	1999-07-31 00:00:00.0	ICBN	1048		Nigde	Caryophyllales	Asia	B
37.42000	34.56800	1d5bc94e-d14c-4be8-9b60-efcc170d51e4	Thu Sep 18 14:04:49 CEST 2008	Lamiaceae	BGBM			Markus Döring	Plantae	d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2200m	Sideritis		PreservedSpecimen	Magnoliophyta	2200	aff. phlomoides		Sideritis aff. phlomoides P.H.Davis & Hub.-Mor.	TR	1999-07-31 00:00:00.0	ICBN	1049	P.H.Davis & Hub.-Mor.	Nigde	Lamiales	Asia	B
37.07000	28.80000	127240b0-da16-4871-baf9-a12692eb315b	Thu Sep 18 14:04:49 CEST 2008	Brassicaceae	BGBM	compactum		Markus Döring	Plantae	Sandras Dagi above Agla, ascent from Çirali to the Çiçekbaba Tepesi (main summit), valley below the eastern slope of the summit, 2180m	Aethionema	Subspecies	PreservedSpecimen	Magnoliophyta	2180	speciosum		Aethionema speciosum subsp. compactum Hartvig & Strid	TR	1999-06-21 00:00:00.0	ICBN	105	Hartvig & Strid	Mugla	Capparales	Asia	B
37.42000	34.56800	16663ba2-c97f-436d-bcdf-e6f75aa986ad	Thu Sep 18 14:04:49 CEST 2008	Caryophyllaceae	BGBM			Markus Döring	Plantae	d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to tarn Karagöl, 2120m	Dianthus		PreservedSpecimen	Magnoliophyta	2120	anatolicus		Dianthus anatolicus Boiss.	TR	1999-07-31 00:00:00.0	ICBN	1050	Boiss.	Nigde	Caryophyllales	Asia	B
37.42000	34.56800	af4ad630-5ea7-4079-8071-882c8c3323f9	Thu Sep 18 14:04:49 CEST 2008	Globulariaceae	BGBM			Markus Döring	Plantae	d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to tarn Karagöl, 2120m	Globularia		PreservedSpecimen	Magnoliophyta	2120	trichosantha		Globularia trichosantha J.C.Fisch. & C.A.Mey.	TR	1999-07-31 00:00:00.0	ICBN	1051	J.C.Fisch. & C.A.Mey.	Nigde	Scrophulariales	Asia	B
37.42000	34.56800	dec680b7-2857-4ba0-ba4b-28c370295a61	Thu Sep 18 14:04:49 CEST 2008	Brassicaceae	BGBM			Markus Döring	Plantae	d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to tarn Karagöl, 2120m	Aethionema		PreservedSpecimen	Magnoliophyta	2120	iberideum		Aethionema iberideum (Boiss.) Boiss.	TR	1999-07-31 00:00:00.0	ICBN	1052	(Boiss.) Boiss.	Nigde	Capparales	Asia	B
37.42000	34.56800	5de13646-70c8-411a-a626-d9ec48fedbef	Thu Sep 18 14:04:49 CEST 2008	Lamiaceae	BGBM			Markus Döring	Plantae	d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m	Salvia		PreservedSpecimen	Magnoliophyta	2350	virgata		Salvia virgata Jacq.	TR	1999-07-30 00:00:00.0	ICBN	1054	Jacq.	Nigde	Lamiales	Asia	B
37.42000	34.56800	806fb7dc-4239-413e-9417-840d19ad876c	Thu Sep 18 14:04:49 CEST 2008	Brassicaceae	BGBM			Markus Döring	Plantae	d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m	Aethionema		PreservedSpecimen	Magnoliophyta	2350	capitatum		Aethionema capitatum Boiss. & Balansa	TR	1999-07-30 00:00:00.0	ICBN	1055	Boiss. & Balansa	Nigde	Capparales	Asia	B
37.42000	34.56800	6398d1b5-40d4-4718-8eae-feefda019944	Thu Sep 18 14:04:49 CEST 2008	Brassicaceae	BGBM			Markus Döring	Plantae	d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m	Erysimum		PreservedSpecimen	Magnoliophyta	2350	pycnophyllum		Erysimum pycnophyllum Gay	TR	1999-07-30 00:00:00.0	ICBN	1056	Gay	Nigde	Capparales	Asia	B
37.42000	34.56800	481dfbfa-2aa4-4f22-a7a9-c56220f5c6ca	Thu Sep 18 14:04:49 CEST 2008	Rosaceae	BGBM	muricata		Markus Döring	Plantae	d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m	Sanguisorba	Subspecies	PreservedSpecimen	Magnoliophyta	2350	minor		Sanguisorba minor subsp. muricata (Spach) Briq.	TR	1999-07-30 00:00:00.0	ICBN	1057	(Spach) Briq.	Nigde	Rosales	Asia	B
37.42000	34.56800	023c8b7e-9e5b-4b8a-80e8-62301ec12c41	Thu Sep 18 14:04:49 CEST 2008	Asteraceae	BGBM			Markus Döring	Plantae	d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m	Centaurea		PreservedSpecimen	Magnoliophyta	2350	virgata ?A?		Centaurea virgata ?A? Lam.	TR	1999-07-30 00:00:00.0	ICBN	1058	Lam.	Nigde	Asterales	Asia	B
37.42000	34.56800	8c364917-31cd-4956-95c4-9494a932544d	Thu Sep 18 14:04:49 CEST 2008	Santalaceae	BGBM			Markus Döring	Plantae	d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m	Thesium		PreservedSpecimen	Magnoliophyta	2350	billardieri		Thesium billardieri Boiss.	TR	1999-07-30 00:00:00.0	ICBN	1059	Boiss.	Nigde	Santalales	Asia	B
