"ID","COLUMN_LENGTH","LINK","NAME","NAMESPACE","REQUIRED","EXTENSION_FK","PROPERTY_ORDER","VOCABULARY_FK","GROUPP"
"211","128",,"SpecificEpithet","http://rs.tdwg.org/dwc/terms/","FALSE","1","108",,"Taxon"
"212","128",,"TaxonRank","http://rs.tdwg.org/dwc/terms/","FALSE","1","109",,"Taxon"
"213","128",,"InfraspecificEpithet","http://rs.tdwg.org/dwc/terms/","FALSE","1","110",,"Taxon"
"214","255",,"ScientificNameAuthorship","http://rs.tdwg.org/dwc/terms/","FALSE","1","111",,"Taxon"
"215","64",,"NomenclaturalCode","http://rs.tdwg.org/dwc/terms/","FALSE","1","112","15","Taxon"
"216","255",,"TaxonAccordingTo","http://rs.tdwg.org/dwc/terms/","FALSE","1","113",,"Taxon"
"217","255",,"NamePublishedIn","http://rs.tdwg.org/dwc/terms/","FALSE","1","114",,"Taxon"
"218","128",,"TaxonomicStatus","http://rs.tdwg.org/dwc/terms/","FALSE","1","115",,"Taxon"
"219","128",,"NomenclaturalStatus","http://rs.tdwg.org/dwc/terms/","FALSE","1","116",,"Taxon"
"220","128",,"AcceptedTaxonID","http://rs.tdwg.org/dwc/terms/","FALSE","1","117",,"Taxon"
"221","255",,"AcceptedTaxon","http://rs.tdwg.org/dwc/terms/","FALSE","1","118",,"Taxon"
"222","128",,"BasionymID","http://rs.tdwg.org/dwc/terms/","FALSE","1","119",,"Taxon"
"223","255",,"Basionym","http://rs.tdwg.org/dwc/terms/","FALSE","1","120",,"Taxon"
"224","128",,"SampleID","http://rs.tdwg.org/dwc/terms/","FALSE","1","1",,"Sample"
"148","64",,"FieldNumber","http://rs.tdwg.org/dwc/terms/","FALSE","1","45",,"Event"
"149","-1",,"FieldNotes","http://rs.tdwg.org/dwc/terms/","FALSE","1","46",,"Event"
