ipt:coreid	DecimalLatitude	CoordinateUncertaintyInMeters	DecimalLongitude
8297	-16.9		145.7
8298	-16.9		145.7
8299	-16.9		145.7
8300	-16.9		145.7
8301	-16.9		145.7
8302	-16.9		145.7
8303	-16.9		145.7
8304	-16.9		145.7
8305	-16.9		145.7
8306	-16.9		145.7
8307	-16.9		145.7
8308	-17.9		146.5
8309	-16.9		145.7
8310	-16.9		145.7
8311	-16.9		145.7
8312	-16.9		145.7
8313	-16.9		145.7
8314	-16.9		145.7
8315	-16.9		145.7
8316	-16.9		145.7
8317	-16.9		145.7
8318	-16.9		145.7
8319	-16.9		145.7
8320	-16.9		145.7
8321	-16.9		145.7
8322	-16.9		145.7
8323	-16.9		145.7
8324	-16.9		145.7
8325	-16.9		145.7
8326	-16.9		145.7
8327	-16.9		145.7
8328	-16.9		145.7
8329	-16.9		145.7
8330	-16.9		145.7
8331	-16.9		145.7
8332	-16.9		145.7
8333	-16.9		145.7
8334	4		101.9
8335	4		101.9
8336	4		101.9
8337	4		101.9
8338	4.9		100.7
8339	4.9		100.7
8340	4.9		100.7
8341	2.2		102.2
8342	-16.9		145.7
8343	26.6		106.7
8344	26.6		106.7
8345	26.6		106.7
8346	26.6		106.7
8347	26.6		106.7
8348	26.6		106.7
8349	26.6		106.7
8350	26.6		106.7
8351	26.6		106.7
8352	26.6		106.7
8353	26.6		106.7
8354	26.6		106.7
8355	26.6		106.7
8356	26.6		106.7
8357	26.6		106.7
8358	26.6		106.7
8359	26.6		106.7
8360	26.6		106.7
8361	22.3		114.3
8362	22.3		114.3
8363	22.3		114.3
8364	22.3		114.3
8365	22.3		114.3
8366	22.3		114.3
8367	51.6		-4
8368	51.6		-4
8369	51.6		-4
8370	-33.9		151.2
8371	-33.9		151.2
8372	-33.9		151.2
8373	-33.9		151.2
8374	-33.9		151.2
8375	-33.9		151.2
8376	-33.9		151.2
8377	-33.9		151.2
8378	-33.9		151.2
8379	-33.9		151.2
8380	-33.9		151.2
8381	-33.9		151.2
8382	-33.9		151.2
8383	-33.9		151.2
8384	-33.9		151.2
8385	-33.9		151.2
8386	-33.9		151.2
8387	-33.9		151.2
8388	-33.9		151.2
8389	-33.9		151.2
8390	-33.9		151.2
8391	-33.9		151.2
8392	-33.9		151.2
8393	-33.9		151.2
8394	-33.9		151.2
8395	-33.9		151.2
8396	-33.9		151.2
8397	-33.9		151.2
8398	-33.9		151.2
8399	-33.9		151.2
8400	-33.9		151.2
8401	-33.9		151.2
8402	-33.9		151.2
8403	-33.9		151.2
8404	-33.9		151.2
8405	-33.9		151.2
8406	-33.9		151.2
8407	-33.9		151.2
8408	-33.9		151.2
8409	-33.9		151.2
8410	-33.9		151.2
8411	-33.9		151.2
8412	-33.9		151.2
8413	-33.9		151.2
8414	-33.9		151.2
8415	-33.9		151.2
8416	-33.9		151.2
8417	-33.9		151.2
8418	-33.9		151.2
8419	-33.9		151.2
8420	-33.9		151.2
8421	-33.9		151.2
8422	-33.9		151.2
8423	-33.9		151.2
8424	-33.9		151.2
8425	-33.9		151.2
8426	-33.9		151.2
8427	-33.9		151.2
8428	-33.9		151.2
8429	-33.9		151.2
8430	-33.9		151.2
8431	-33.9		151.2
8432	-33.9		151.2
8433	-33.9		151.2
8434	-33.9		151.2
8435	-33.9		151.2
8436	-33.9		151.2
8437	-33.9		151.2
8438	-33.9		151.2
8439	-33.9		151.2
8440	-33.9		151.2
8441	-33.9		151.2
8442	-33.9		151.2
8443	-33.9		151.2
8444	-33.9		151.2
8445	-33.9		151.2
8446	-33.9		151.2
8447	-33.9		151.2
8448	-33.9		151.2
8449	-33.9		151.2
8450	-33.9		151.2
8451	-33.9		151.2
8452	-33.9		151.2
8453	-33.9		151.2
8454	-33.9		151.2
8455	-33.9		151.2
8456	-33.9		151.2
8457	-33.9		151.2
8458	-33.9		151.2
8459	-33.9		151.2
8460	30.1		109.4
8461	30.1		109.4
8462	30.1		109.4
8463	30.1		109.4
8464	30.1		109.4
8465	30.1		109.4
8466	30.1		109.4
8467	30.1		109.4
8468	22.3		114.3
8469	30.1		109.4
8470	30.1		109.4
8471	30.1		109.4
8472	30.1		109.4
8473	30.1		109.4
8474	30.1		109.4
8475	30.1		109.4
8476	30.1		109.4
8477	30.1		109.4
8478	30.1		109.4
8479	30.1		109.4
8480	30.1		109.4
8481	30.1		109.4
8482	30.1		109.4
8483	-33.9		151.2
8484	-33.9		151.2
8485	-33.9		151.2
8486	-33.9		151.2
8487	-33.9		151.2
8488	-33.9		151.2
8489	-33.9		151.2
8490	51.6		-4
8491	-33.9		151.2
8492	-33.9		151.2
8493	-33.9		151.2
8494	-33.9		151.2
8495	-33.9		151.2
8496	30.3		109
8497	30.3		109
8498	30.3		109
8499	30.3		109
8500	30.3		109
8501	30.3		109
8502	30.3		109
8503	30.3		109
8504	30.3		109
8505	30.3		109
8506	30.3		109
8507	30.3		109
8508	30.3		109
8509	30.3		109
8510	30.3		109
8511	30.3		109
8512	30.3		109
8513	30.3		109
8514	30.3		109
8515	30.3		109
8516	30.3		109
8517	30.3		109
8518	30.3		109
8519	30.3		109
8520	30.3		109
8521	30.3		109
8522	30.3		109
8523	30.3		109
8524	30.3		109
8525	30.3		109
8526	30.3		109
8527	30.3		109
8528	30.3		109
8529	30.3		109
8530	30.3		109
8531	30.3		109
8532	30.3		109
8533	30.3		109
8534	30.3		109
8535	30.3		109
8536	30.3		109
8537	30.3		109
8538	30.3		109
8539	30.3		109
8540	30.3		109
8541	30.3		109
8542	30.3		109
8543	30.3		109
8544	30.3		109
8545	30.3		109
8546	30.3		109
8547	30.3		109
8548	30.3		109
8549	30.3		109
8550	30.3		109
8551	30.3		109
8552	30.3		109
8553	30.3		109
8554	30.3		109
8555	30.1		109.4
8556	30.1		109.4
8557	30.3		109
8558	30.3		109
8559	30.3		109
8560	30.3		109
8561	30.3		109
8562	30.3		109
8563	30.3		109
8564	30.3		109
8565	30.3		109
8566	30.3		109
8567	51.5		-0.3
8568	51.5		-0.3
8569	50.5		-4.7
8570	50.5		-4.7
8571	50.5		-4.7
8572	50.5		-4.7
8573	51.5		-0.6
8574	50.5		-4.7
8575	50.5		-4.7
8576	51.5		-0.6
8577	51.5		-0.6
8578	51.5		-0.6
8579	51.5		-0.6
8580	51.5		-0.6
8581	51.5		-0.6
8582	51.5		-0.6
8583	51.5		-0.6
8584	30.1		109.4
8585	30.1		109.4
8586	30.1		109.4
8587	30.1		109.4
8588	30.1		109.4
8589	30.1		109.4
8590	30.1		109.4
8591	30.1		109.4
8592	30.1		109.4
8593	30.1		109.4
8594	30.1		109.4
8595	30.1		109.4
8596	30.1		109.4
8597	30.1		109.4
8598	30.1		109.4
8599	30.1		109.4
8600	30.1		109.4
8601	30.1		109.4
8602	30.1		109.4
8603	30.1		109.4
8604	30.1		109.4
8605	30.1		109.4
8606	30.1		109.4
8607	30.1		109.4
8608	30.1		109.4
8609	30.1		109.4
8610	30.1		109.4
8611	30.1		109.4
8612	30.1		109.4
8613	30.1		109.4
8614	30.1		109.4
8615	30.1		109.4
8616	30.1		109.4
8617	30.1		109.4
8618	30.1		109.4
8619	30.1		109.4
8620	30.1		109.4
8621	30.1		109.4
8622	30.1		109.4
8623	30.1		109.4
8624	30.1		109.4
8625	30.1		109.4
8626	30.1		109.4
8627	30.1		109.4
8628	30.1		109.4
8629	30.1		109.4
8630	30.1		109.4
8631	30.1		109.4
8632	30.1		109.4
8633	30.1		109.4
8634	30.1		109.4
8635	30.1		109.4
8636	30.1		109.4
8637	30.1		109.4
8638	30.1		109.4
8639	30.1		109.4
8640	30.1		109.4
8641	30.1		109.4
8642	30.1		109.4
8643	30.1		109.4
8644	30.1		109.4
8645	30.1		109.4
8646	30.1		109.4
8647	30.1		109.4
8648	30.1		109.4
8649	30.1		109.4
8650	30.1		109.4
8651	30.1		109.4
8652	30.1		109.4
8653	30.1		109.4
8654	30.1		109.4
8655	30.1		109.4
8656	30.1		109.4
8657	30.1		109.4
8658	30.1		109.4
8659	30.1		109.4
8660	30.1		109.4
8661	30.3		109
8662	30.1		109.4
8663	46.5		-4.3
8664	46.5		-4.3
8665	46.5		-4.3
8666	46.5		-4.3
8667	46.5		-4.3
8668	46.5		-4.3
8669	46.5		-4.3
8670	46.5		-4.3
8671	46.5		-4.3
8672	46.5		-4.3
8673	46.5		-4.3
8674	46.5		-4.3
8675	46.5		-4.3
8676	46.5		-4.3
8677	46.5		-4.3
8678	46.5		-4.3
8679	46.5		-4.3
8680	46.5		-4.3
8681	46.5		-4.3
8682	46.5		-4.3
8683	46.5		-4.3
8684	46.5		-4.3
8685	46.5		-4.3
8686	46.5		-4.3
8687	46.5		-4.3
8688	46.5		-4.3
8689	46.5		-4.3
8690	46.5		-4.3
8691	46.5		-4.3
8692	46.5		-4.3
8693	46.5		-4.3
8694	46.5		-4.3
8695	46.5		-4.3
8696	46.5		-4.3
8697	46.5		-4.3
8698	46.5		-4.3
8699	46.5		-4.3
8700	46.5		-4.3
8701	46.5		-4.3
8702	46.5		-4.3
8703	46.5		-4.3
8704	46.5		-4.3
8705	46.5		-4.3
8706	46.5		-4.3
8707	46.5		-4.3
8708	46.5		-4.3
8709	46.5		-4.3
8710	46.5		-4.3
8711	46.5		-4.3
8712	46.5		-4.3
8713	46.5		-4.3
8714	46.5		-4.3
8715	46.5		-4.3
8716	46.5		-4.3
8717	46.5		-4.3
8718	46.5		-4.3
8719	46.5		-4.3
8720	46.5		-4.3
8721	46.5		-4.3
8722	46.5		-4.3
8723	46.5		-4.3
8724	46.5		-4.3
8725	46.5		-4.3
8726	46.5		-4.3
8727	46.5		-4.3
8728	46.5		-4.3
8729	46.5		-4.3
8730	46.5		-4.3
8731	46.5		-4.3
8732	46.5		-4.3
8733	46.5		-4.3
8734	46.5		-4.3
8735	46.5		-4.3
8736	46.5		-4.3
8737	46.5		-4.3
8738	46.5		-4.3
8739	46.5		-4.3
8740	46.5		-4.3
8741	46.5		-4.3
8742	46.5		-4.3
8743	46.5		-4.3
8744	46.5		-4.3
8745	46.5		-4.3
8746	46.5		-4.3
8747	46.5		-4.3
8748	46.5		-4.3
8749	46.5		-4.3
8750	46.5		-4.3
8751	46.5		-4.3
8752	46.5		-4.3
8753	46.5		-4.3
8754	46.5		-4.3
8755	46.5		-4.3
8756	46.5		-4.3
8757	46.5		-4.3
8758	46.5		-4.3
8759	46.5		-4.3
8760	46.5		-4.3
8761	46.5		-4.3
8762	46.5		-4.3
8763	46.5		-4.3
8764	46.5		-4.3
8765	46.5		-4.3
8766	46.5		-4.3
8767	46.5		-4.3
8768	46.5		-4.3
8769	46.5		-4.3
8770	46.5		-4.3
8771	46.5		-4.3
8772	46.5		-4.3
8773	46.5		-4.3
8774	46.5		-4.3
8775	46.5		-4.3
8776	46.5		-4.3
8777	46.5		-4.3
8778	46.5		-4.3
8779	46.5		-4.3
8780	46.5		-4.3
8781	46.5		-4.3
8782	46.5		-4.3
8783	26.6		106.7
8784	26.6		106.7
8785	26.6		106.7
8786	26.6		106.7
8787	26.6		106.7
8788	26.6		106.7
8789	26.6		106.7
8790	26.6		106.7
8791	26.6		106.7
8792	-17.9		146.5
8793	-17.9		146.5
8794	22.3		114.3
8795	22.3		114.3
8796	22.3		114.3
8797	22.3		114.3
8798	5.4		100.4
8799	5.4		100.4
8800	5.4		100.4
8801	5.4		100.4
8802	5.4		100.4
8803	5.4		100.4
8804	5.4		100.4
8805	4.6		55.5
8806	4.6		55.5
8807	4.6		55.5
8808	4.6		55.5
8809	4.6		55.5
8810	4.6		55.5
8811	4.6		55.5
8812	4.6		55.5
8813	4.6		55.5
8814	4.6		55.5
8815	4.6		55.5
8816	4.6		55.5
8817	4.6		55.5
8818	4.6		55.5
8819	4.6		55.5
8820	4.6		55.5
8821	4.6		55.5
8822	4.6		55.5
8823	4.6		55.5
8824	4.6		55.5
8825	4.6		55.5
8826	4.6		55.5
8827	4.6		55.5
8828	4.6		55.5
8829	4.6		55.5
8830	4.6		55.5
8831	4.6		55.5
8832	4.6		55.5
8833	4.6		55.5
8834	4.6		55.5
8835	4.6		55.5
8836	4.6		55.5
8837	6.9		79.9
8838	6.9		79.9
8839	6.9		79.9
8840	6.9		79.9
8841	-16.9		145.7
8842	6.9		79.9
8843	6.9		79.9
8844	6.9		79.9
8845	22.3		114.3
8846	-16.9		145.7
8847	-16.9		145.7
8848	-16.9		145.7
8849	-16.9		145.7
8850	-16.9		145.7
8851	-16.9		145.7
8852	-16.9		145.7
8853	-16.9		145.7
8854	-16.9		145.7
8855	-16.9		145.7
8856	-16.9		145.7
8857	-16.9		145.7
8858	-16.9		145.7
8859	-16.9		145.7
8860	-16.9		145.7
8861	-16.1		145.3
8862	-16.1		145.3
8863	-16.1		145.3
8864	-16.1		145.3
8865	-16.1		145.3
8866	-16.1		145.3
8867	-16.1		145.3
8868	-16.1		145.3
8869	-16.1		145.3
