"ID","BBOX_MAX_LATITUDE","BBOX_MAX_LONGITUDE","BBOX_MIN_LATITUDE","BBOX_MIN_LONGITUDE","NOMENCLATURAL_CODE","TYPE","LABEL","LFT","OCC_TOTAL","RANK","RGT","RESOURCE_FK","PARENT_FK","LOCAL_ID","GUID","LINK","DELETED","MODIFIED","BASIONYM_FK","ACCEPTED_TAXON_FK","NOTES","TAXONOMIC_STATUS","NOMENCLATURAL_STATUS","NOMENCLATURAL_REFERENCE","BASIONYM_ID","ACCEPTED_TAXON_ID","TAXONOMIC_PARENT_ID","MPATH"
"26473",,,,,,"6","Calendula sinuata Boiss. & Gaill.","77","0","species","78","7",,"23","074ba4d1-4206-491c-b484-bec685a50de8","http://localhost:8080/data/7/074ba4d1-4206-491c-b484-bec685a50de8/detail.html","FALSE","2009-01-07 20:24:44.583",,"26457",,"Heterotypic Synonym",,"""in Boissier, Diagn. Pl. Orient., ser. 2, 6: 109. 1859""","Calendula sinuata Boiss. & Gaill.","7","NULL",
"26474",,,,,,"6","Calendula sublanata Rchb. f.","79","0","species","80","7",,"24","37f35e4b-e1cd-4b64-8c00-7b7dde198fbb","http://localhost:8080/data/7/37f35e4b-e1cd-4b64-8c00-7b7dde198fbb/detail.html","FALSE","2009-01-07 20:24:44.584",,"26457",,"Heterotypic Synonym",,"""in Reichenbach, Icon. Fl. Germ. Helv. 15: 99. 1853""","Calendula sublanata Rchb. f.","7","NULL",
"26475",,,,,,"7","Calendula arvensis subsp. aegyptiaca (Pers.) Hayek","49","0","subspecies","50","7",,"25","2dfcf69e-5a47-48a1-b005-f69824ad6348","http://localhost:8080/data/7/2dfcf69e-5a47-48a1-b005-f69824ad6348/detail.html","FALSE","2009-01-07 20:24:44.586",,"26457",,"Heterotypic Synonym",,"in Repert. Spec. Nov. Regni Veg. Beih. 30(2): 685. 1931","Calendula aegyptiaca Pers.","7","NULL",
"26476",,,,,,"7","Calendula arvensis subsp. bicolor (Raf.) Nyman","63","0","subspecies","64","7",,"26","58f80da3-6a9b-47b1-9e42-0d455fd3ad45","http://localhost:8080/data/7/58f80da3-6a9b-47b1-9e42-0d455fd3ad45/detail.html","FALSE","2009-01-07 20:24:44.589",,"26457",,"Heterotypic Synonym",,"Consp. Fl. Eur.: 398. 1879","Calendula bicolor Raf.","7","NULL",
"26477",,,,,,"7","Calendula arvensis subsp. hydruntina (Fiori) Lanza","45","0","subspecies","46","7",,"27","b63de5db-2d30-41b2-910c-24946888b38b","http://localhost:8080/data/7/b63de5db-2d30-41b2-910c-24946888b38b/detail.html","FALSE","2009-01-07 20:24:44.593",,"26457",,"Heterotypic Synonym",,"in Atti Reale Accad. Sci. Lett. Belle Arti Palermo 11: 113. 1919","Calendula officinalis var. hydruntina Fiori","7","NULL",
"26478",,,,,,"7","Calendula arvensis subsp. macroptera Rouy","19","0","subspecies","20","7",,"28","df35cd05-d6f8-4564-b5c9-168534547dbd","http://localhost:8080/data/7/df35cd05-d6f8-4564-b5c9-168534547dbd/detail.html","FALSE","2009-01-07 20:24:44.595",,"26457",,"Heterotypic Synonym",,"Fl. France 8: 355. 1903","Calendula arvensis subsp. macroptera Rouy","7","NULL",
"26479",,,,,,"7","Calendula arvensis subsp. malacitana (Boiss. & Reut.) Cout.","13","0","subspecies","14","7",,"29","81195fbc-0f0d-4d31-ada1-4c55d9b8078d","http://localhost:8080/data/7/81195fbc-0f0d-4d31-ada1-4c55d9b8078d/detail.html","FALSE","2009-01-07 20:24:44.604",,"26457",,"Heterotypic Synonym",,"Fl. Portugal: 642. 1913","Calendula malacitana Boiss. & Reut.","7","NULL",
"26453",,,,,,"5","Tripterus Less.","3","0","genus","6","7","26452","3","4b27a8a5-8f2e-482b-9b5f-23f956ffc67d","http://localhost:8080/data/7/4b27a8a5-8f2e-482b-9b5f-23f956ffc67d/detail.html","FALSE","2009-01-07 20:24:44.4",,,,"Accepted",,,"NULL","3","2",
"26480",,,,,,"7","Calendula arvensis subsp. micrantha (Tineo & Guss.) Arcang.","15","0","subspecies","16","7",,"30","36575e21-72b8-4207-9979-cec1cdabed14","http://localhost:8080/data/7/36575e21-72b8-4207-9979-cec1cdabed14/detail.html","FALSE","2009-01-07 20:24:44.609",,"26457",,"Heterotypic Synonym",,"""Comp. Fl. Ital., ed. 2: 695. 1894""","Calendula micrantha Tineo & Guss.","7","NULL",
"26481",,,,,,"7","Calendula arvensis subsp. sublanata (Rchb. f.) Nyman","17","0","subspecies","18","7",,"31","cf1fe631-2510-43a4-b9e7-c6bd6d035d3a","http://localhost:8080/data/7/cf1fe631-2510-43a4-b9e7-c6bd6d035d3a/detail.html","FALSE","2009-01-07 20:24:44.612",,"26457",,"Heterotypic Synonym",,"Consp. Fl. Eur.: 398. 1879","Calendula sublanata Rchb. f.","7","NULL",
"26482",,,,,,"7","Calendula sancta subsp. crista-galli (Viv.) Gallego & Talavera","27","0","subspecies","28","7",,"32","987216d1-3405-44ac-8efc-1739f6d42f3b","http://localhost:8080/data/7/987216d1-3405-44ac-8efc-1739f6d42f3b/detail.html","FALSE","2009-01-07 20:24:44.613",,"26457",,"Heterotypic Synonym",,"in Lagascalia 11: 103. 1983","Calendula crista-galli Viv.","7","NULL",
"26483",,,,,,"8","Calendula officinalis var. hydruntina Fiori","21","0","variety","22","7",,"33","fa83f67e-3efa-4918-ac78-c44f63b0df23","http://localhost:8080/data/7/fa83f67e-3efa-4918-ac78-c44f63b0df23/detail.html","FALSE","2009-01-07 20:24:44.627",,"26457",,"Heterotypic Synonym",,"""in Fiori & Paoletti, Fl. Italia 3: 298. 1904""","Calendula officinalis var. hydruntina Fiori","7","NULL",
"26484",,,,,,,"Calendula arvensis subsp. communis","23","0",,"24","7",,"34","5411ebf0-8d10-4c31-a499-bf7192cc08f0","http://localhost:8080/data/7/5411ebf0-8d10-4c31-a499-bf7192cc08f0/detail.html","FALSE","2009-01-07 20:24:44.63",,"26457",,,"nom. inval.",,"NULL","7","NULL",
"26485",,,,,,,"Calendula persica subsp. gracilis","25","0",,"26","7",,"35","dd2eb037-4481-44e2-ab75-84df0dc240d6","http://localhost:8080/data/7/dd2eb037-4481-44e2-ab75-84df0dc240d6/detail.html","FALSE","2009-01-07 20:24:44.631",,"26457",,,"nom. inval.",,"NULL","7","NULL",
"26486",,,,,,,"""Calendula stellata sec. Willkomm, M. & Lange J.""","43","0",,"44","7",,"36","77009e23-c738-4996-8ea0-0500f7d5da0e","http://localhost:8080/data/7/77009e23-c738-4996-8ea0-0500f7d5da0e/detail.html","FALSE","2009-01-07 20:24:44.633",,"26457",,"misapplied name",,"Prodromus florae hispanicae 2 Stuttgart 1865-1870.","NULL","7","NULL",
"26487",,,,,,,"""Calendula stellata sec. Willkomm, M""","29","0",,"30","7",,"37","827968a1-a85e-41d3-9498-5d82d1c2828b","http://localhost:8080/data/7/827968a1-a85e-41d3-9498-5d82d1c2828b/detail.html","FALSE","2009-01-07 20:24:44.635",,"26457",,"misapplied name",,"Supplementum prodromi florae hispanicae 2 Stuttgart 1893.","NULL","7","NULL",
