#id	#modified	Family	InstitutionCode	InfraspecificEpithet	Collector	Locality	Genus	InfraspecificRank	BasisOfRecord	MinimumElevationInMeters	SpecificEpithet	ScientificName	Country	EarliestDateCollected	NomenclaturalCode	CatalogNumber	AuthorYearOfScientificName	StateProvince	CollectionCode
61211a37-648c-4c27-a5d0-e4f25ad4c216	2008-08-04 10:52:48.0	Campanulaceae		rigidum	Markus Döring	d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2200m	Asyneuma	Subspecies	PreservedSpecimen	2200	rigidum	Asyneuma rigidum subsp. rigidum	Turkey	1999-07-31 00:00:00.0	ICBN	1047	\n	Nigde	PonTaurus collection
325056c7-57f7-45fd-8320-e159aa112ca7	2008-08-04 10:52:48.0	Caryophyllaceae		\n	Markus Döring	d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2200m	Silene	Variety	PreservedSpecimen	2200	armena	Silene armena var. armena	Turkey	1999-07-31 00:00:00.0	ICBN	1048	\n	Nigde	PonTaurus collection
e5f79dd6-b179-4116-b773-0f3a3e267241	2008-08-04 10:52:48.0	Lamiaceae		\n	Markus Döring	d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2200m	Sideritis		PreservedSpecimen	2200	aff. phlomoides	Sideritis aff. phlomoides P.H.Davis & Hub.-Mor.	Turkey	1999-07-31 00:00:00.0	ICBN	1049	P.H.Davis & Hub.-Mor.	Nigde	PonTaurus collection
4b9dab73-68df-41fe-97ba-52cb4b76e70a	2008-08-04 10:52:48.0	Brassicaceae		compactum	Markus Döring	Sandras Dagi above Agla, ascent from Çirali to the Çiçekbaba Tepesi (main summit), valley below the eastern slope of the summit, 2180m	Aethionema	Subspecies	PreservedSpecimen	2180	speciosum	Aethionema speciosum subsp. compactum Hartvig & Strid	Turkey	1999-06-21 00:00:00.0	ICBN	105	Hartvig & Strid	Mugla	PonTaurus collection
85e74194-7413-4bc8-b15a-b508a17a3132	2008-08-04 10:52:48.0	Caryophyllaceae		\n	Markus Döring	d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to tarn Karagöl, 2120m	Dianthus		PreservedSpecimen	2120	anatolicus	Dianthus anatolicus Boiss.	Turkey	1999-07-31 00:00:00.0	ICBN	1050	Boiss.	Nigde	PonTaurus collection
8d16ae68-3730-462d-b7bb-377f093bbb31	2008-08-04 10:52:48.0	Globulariaceae		\n	Markus Döring	d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to tarn Karagöl, 2120m	Globularia		PreservedSpecimen	2120	trichosantha	Globularia trichosantha J.C.Fisch. & C.A.Mey.	Turkey	1999-07-31 00:00:00.0	ICBN	1051	J.C.Fisch. & C.A.Mey.	Nigde	PonTaurus collection
63ed53a9-fe87-4509-96fd-7a885d2a50b2	2008-08-04 10:52:48.0	Brassicaceae		\n	Markus Döring	d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to tarn Karagöl, 2120m	Aethionema		PreservedSpecimen	2120	iberideum	Aethionema iberideum (Boiss.) Boiss.	Turkey	1999-07-31 00:00:00.0	ICBN	1052	(Boiss.) Boiss.	Nigde	PonTaurus collection
9fba39fb-73e8-4a40-84df-b8b2d5fd9962	2008-08-04 10:52:48.0	Lamiaceae		\n	Markus Döring	d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m	Salvia		PreservedSpecimen	2350	virgata	Salvia virgata Jacq.	Turkey	1999-07-30 00:00:00.0	ICBN	1054	Jacq.	Nigde	PonTaurus collection
74cae443-ae26-4fb3-b22d-f9d9ccd7dfc9	2008-08-04 10:52:48.0	Brassicaceae		\n	Markus Döring	d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m	Aethionema		PreservedSpecimen	2350	capitatum	Aethionema capitatum Boiss. & Balansa	Turkey	1999-07-30 00:00:00.0	ICBN	1055	Boiss. & Balansa	Nigde	PonTaurus collection
7ed6f06c-66ee-49cc-8712-7d0378d04c68	2008-08-04 10:52:48.0	Brassicaceae		\n	Markus Döring	d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m	Erysimum		PreservedSpecimen	2350	pycnophyllum	Erysimum pycnophyllum Gay	Turkey	1999-07-30 00:00:00.0	ICBN	1056	Gay	Nigde	PonTaurus collection
