ipt:coreid	ipt:guid	ipt:link	ipt:modified	Family	InstitutionCode	County	Collector	Kingdom	Locality	Genus	MaximumDepthInMeters	BasisOfRecord	Phylum	MinimumDepthInMeters	MinimumElevationInMeters	Class	ScientificName	NomenclaturalCode	Country	MaximumElevationInMeters	EarliestDateCollected	CatalogNumber	StateProvince	Order	Continent	CollectionCode
8043	28b4906e-f4f0-4ae9-8978-04321f095bea	http://localhost:8080/data/2/28b4906e-f4f0-4ae9-8978-04321f095bea/detail.html	Thu Sep 25 01:14:00 CEST 2008		HKU		Joanne E. Taylor		HONG KONG, Hong Kong Island, Peak Road			Specimen					Dictyochaeta anamorph of Chaetosphaeria callimorpha S. Hughes & W.B. Kendr.	ICZN	HK		27.6.94 0:00	3526-1				HKU(M)
8044	4e721516-36c2-4d56-8659-4dadce1c839d	http://localhost:8080/data/2/4e721516-36c2-4d56-8659-4dadce1c839d/detail.html	Thu Sep 25 01:14:00 CEST 2008		HKU		Joanne E. Taylor; Kevin D. Hyde		HONG KONG, Hong Kong Island, Peak Road			Specimen					Lasiodiplodia theobromae (Pat.) Griff. & Maubl.	ICZN	HK		27.6.94 0:00	3528				HKU(M)
8045	3a26a83d-e064-4783-be7b-904fbb25d591	http://localhost:8080/data/2/3a26a83d-e064-4783-be7b-904fbb25d591/detail.html	Thu Sep 25 01:14:00 CEST 2008		HKU		Joanne E. Taylor; Kevin D. Hyde		HONG KONG, Hong Kong Island, Peak Road			Specimen					Bionectria byssicola (Berk. & Broome) Schroers & Samuels	ICZN	HK		27.6.94 0:00	3533-1				HKU(M)
8046	9ccbd8e7-9695-4acf-8eac-fb6f198a4bd3	http://localhost:8080/data/2/9ccbd8e7-9695-4acf-8eac-fb6f198a4bd3/detail.html	Thu Sep 25 01:14:00 CEST 2008		HKU		Joanne E. Taylor; Ian C. Taylor		HONG KONG, Lamma Island			Specimen					Bionectria ochroleuca (Schwein.) Schroers & Samuels	ICZN	HK		9.7.94 0:00	3539-1				HKU(M)
8047	2304f020-bed0-4ccc-855b-88a19dd911fe	http://localhost:8080/data/2/2304f020-bed0-4ccc-855b-88a19dd911fe/detail.html	Thu Sep 25 01:14:00 CEST 2008		HKU		Joanne E. Taylor; Ian C. Taylor		HONG KONG, Lamma Island			Specimen					Botryosphaeria archontophoenicis Joa.E. Taylor, K.D. Hyde & E.B.G. Jones	ICZN	HK		9.7.94 0:00	3539-2				HKU(M)
8048	80d2c0dd-90f2-4785-86a7-327e92458c81	http://localhost:8080/data/2/80d2c0dd-90f2-4785-86a7-327e92458c81/detail.html	Thu Sep 25 01:14:00 CEST 2008		HKU		Joanne E. Taylor; Ian C. Taylor		HONG KONG, Lamma Island			Specimen					Lasiodiplodia theobromae (Pat.) Griff. & Maubl.	ICZN	HK		9.7.94 0:00	3539-3				HKU(M)
8049	8e882fe6-0383-4a05-8670-afe260056db2	http://localhost:8080/data/2/8e882fe6-0383-4a05-8670-afe260056db2/detail.html	Thu Sep 25 01:14:00 CEST 2008		HKU	Pokfulam	Joanne E. Taylor		HONG KONG, Hong Kong University, University Drive			Specimen					Coleodictyospora micronesica (Matsush.) Matsush.	ICZN	HK		1.8.94 0:00	3540-1				HKU(M)
8050	e98a403c-2f94-47ad-990b-39f6176f3c8b	http://localhost:8080/data/2/e98a403c-2f94-47ad-990b-39f6176f3c8b/detail.html	Thu Sep 25 01:14:00 CEST 2008		HKU	Pokfulam	Joanne E. Taylor		HONG KONG, Hong Kong University, University Drive			Specimen					Diaporthe palmarum Joa.E. Taylor, K.D. Hyde & E.B.G. Jones	ICZN	HK		1.8.94 0:00	3540-2				HKU(M)
8051	91910021-272d-4b53-9a68-7501737e01e8	http://localhost:8080/data/2/91910021-272d-4b53-9a68-7501737e01e8/detail.html	Thu Sep 25 01:14:00 CEST 2008		HKU	Pokfulam	Joanne E. Taylor		HONG KONG, Hong Kong University, University Drive			Specimen					Diatrype chlorosarca Berk. & Broome	ICZN	HK		1.8.94 0:00	3540-3				HKU(M)
8052	fa647d3d-e07c-4d0d-8c6f-66a9c6990c1d	http://localhost:8080/data/2/fa647d3d-e07c-4d0d-8c6f-66a9c6990c1d/detail.html	Thu Sep 25 01:14:00 CEST 2008		HKU	Pokfulam	Joanne E. Taylor		HONG KONG, Hong Kong University, University Drive			Specimen					Acrocalymma medicaginis Alcorn & J.A.G. Irwin	ICZN	HK		1.8.94 0:00	3541-1				HKU(M)
8053	152c158e-781e-4fcc-b8fd-47837218f3ea	http://localhost:8080/data/2/152c158e-781e-4fcc-b8fd-47837218f3ea/detail.html	Thu Sep 25 01:14:00 CEST 2008		HKU	Pokfulam	Joanne E. Taylor		HONG KONG, Hong Kong University, University Drive			Specimen					Botryosphaeria dothidea (Moug.) Ces. & De Not.	ICZN	HK		1.8.94 0:00	3542-1				HKU(M)
8054	6222d9b4-d3bd-4757-ba3a-8bc298885173	http://localhost:8080/data/2/6222d9b4-d3bd-4757-ba3a-8bc298885173/detail.html	Thu Sep 25 01:14:00 CEST 2008		HKU	Pokfulam	Joanne E. Taylor		HONG KONG, Hong Kong University, University Drive			Specimen					Diaporthe palmarum Joa.E. Taylor, K.D. Hyde & E.B.G. Jones	ICZN	HK		1.8.94 0:00	3542-2				HKU(M)
8055	c4acc772-bb47-497c-a6df-8204e9dbdd54	http://localhost:8080/data/2/c4acc772-bb47-497c-a6df-8204e9dbdd54/detail.html	Thu Sep 25 01:14:00 CEST 2008		HKU	Pokfulam	Joanne E. Taylor		HONG KONG, Hong Kong University, University Drive			Specimen					Gyrothrix circinata (Berk. & M.A. Curtis) S. Hughes	ICZN	HK		1.8.94 0:00	3542-3				HKU(M)
8056	8901433d-cbf5-4afc-997d-a07c48753cd6	http://localhost:8080/data/2/8901433d-cbf5-4afc-997d-a07c48753cd6/detail.html	Thu Sep 25 01:14:01 CEST 2008		HKU	Pokfulam	Joanne E. Taylor		HONG KONG, Hong Kong University, University Drive			Specimen					Hermatomyces sphaericum (Sacc.) S. Hughes	ICZN	HK		1.8.94 0:00	3542-4				HKU(M)
8057	9cc2a0a2-54ae-4808-bc16-424590621633	http://localhost:8080/data/2/9cc2a0a2-54ae-4808-bc16-424590621633/detail.html	Thu Sep 25 01:14:01 CEST 2008		HKU	Pokfulam	Joanne E. Taylor		HONG KONG, Hong Kong University, University Drive			Specimen					Lasiodiplodia theobromae (Pat.) Griff. & Maubl.	ICZN	HK		1.8.94 0:00	3542-5				HKU(M)
8058	9f7bac41-f521-4e5a-8fe6-223ec3be4184	http://localhost:8080/data/2/9f7bac41-f521-4e5a-8fe6-223ec3be4184/detail.html	Thu Sep 25 01:14:01 CEST 2008		HKU	Pokfulam	Joanne E. Taylor		HONG KONG, Hong Kong University, University Drive			Specimen					Coleophoma empetri (Rostr.) Petr.	ICZN	HK		1.8.94 0:00	3543-1				HKU(M)
8059	a6e8b0ef-e85a-4163-b8c7-03548fcb0e31	http://localhost:8080/data/2/a6e8b0ef-e85a-4163-b8c7-03548fcb0e31/detail.html	Thu Sep 25 01:14:01 CEST 2008		HKU	Pokfulam	Joanne E. Taylor		HONG KONG, Hong Kong University, University Drive			Specimen					Diaporthe palmarum Joa.E. Taylor, K.D. Hyde & E.B.G. Jones	ICZN	HK		1.8.94 0:00	3543-2				HKU(M)
8060	086c98b5-98f7-4fda-956f-269bbaff806e	http://localhost:8080/data/2/086c98b5-98f7-4fda-956f-269bbaff806e/detail.html	Thu Sep 25 01:14:01 CEST 2008		HKU	Pokfulam	Joanne E. Taylor		HONG KONG, Hong Kong University, University Drive			Specimen					Gyrothrix circinata (Berk. & M.A. Curtis) S. Hughes	ICZN	HK		1.8.94 0:00	3543-3				HKU(M)
8061	eb13c985-30ee-4601-8ca2-b5f99f53e3b5	http://localhost:8080/data/2/eb13c985-30ee-4601-8ca2-b5f99f53e3b5/detail.html	Thu Sep 25 01:14:01 CEST 2008		HKU	Pokfulam	Joanne E. Taylor		HONG KONG, Hong Kong University, University Drive			Specimen					Lasiodiplodia theobromae (Pat.) Griff. & Maubl.	ICZN	HK		1.8.94 0:00	3544				HKU(M)
8062	9267284d-0c60-42fd-9120-01ba30afc70a	http://localhost:8080/data/2/9267284d-0c60-42fd-9120-01ba30afc70a/detail.html	Thu Sep 25 01:14:01 CEST 2008		HKU	Pokfulam	Joanne E. Taylor		HONG KONG, Hong Kong University, University Drive			Specimen					Diaporthe palmarum Joa.E. Taylor, K.D. Hyde & E.B.G. Jones	ICZN	HK		1.8.94 0:00	3545-1				HKU(M)
8063	79427820-0585-4fe4-9900-a823ef1f64f0	http://localhost:8080/data/2/79427820-0585-4fe4-9900-a823ef1f64f0/detail.html	Thu Sep 25 01:14:01 CEST 2008		HKU	Pokfulam	Joanne E. Taylor		HONG KONG, Hong Kong University, University Drive			Specimen					Gyrothrix circinata (Berk. & M.A. Curtis) S. Hughes	ICZN	HK		1.8.94 0:00	3545-2				HKU(M)
8064	e6eb02e1-e90f-4cf9-92dd-120cc35522dc	http://localhost:8080/data/2/e6eb02e1-e90f-4cf9-92dd-120cc35522dc/detail.html	Thu Sep 25 01:14:01 CEST 2008		HKU	Pokfulam	Joanne E. Taylor		HONG KONG, Hong Kong University, University Drive			Specimen					Botryosphaeria dothidea (Moug.) Ces. & De Not.	ICZN	HK		1.8.94 0:00	3546-1				HKU(M)
8065	5cea1279-fe26-4106-961b-3c9f9d5e9800	http://localhost:8080/data/2/5cea1279-fe26-4106-961b-3c9f9d5e9800/detail.html	Thu Sep 25 01:14:01 CEST 2008		HKU	Pokfulam	Joanne E. Taylor		HONG KONG, Hong Kong University, University Drive			Specimen					Diatrype chlorosarca Berk. & Broome	ICZN	HK		1.8.94 0:00	3546-2				HKU(M)
8066	6fced6c5-736e-489e-aaac-f91791c2e0f5	http://localhost:8080/data/2/6fced6c5-736e-489e-aaac-f91791c2e0f5/detail.html	Thu Sep 25 01:14:01 CEST 2008		HKU	Pokfulam	Joanne E. Taylor		HONG KONG, Hong Kong University, University Drive			Specimen					Gyrothrix circinata (Berk. & M.A. Curtis) S. Hughes	ICZN	HK		1.8.94 0:00	3546-3				HKU(M)
8067	8bd4113e-4b3e-4512-b72e-f6c0deb2b5de	http://localhost:8080/data/2/8bd4113e-4b3e-4512-b72e-f6c0deb2b5de/detail.html	Thu Sep 25 01:14:01 CEST 2008		HKU	Pokfulam	Joanne E. Taylor		HONG KONG, Hong Kong University, University Drive			Specimen					Botryosphaeria archontophoenicis Joa.E. Taylor, K.D. Hyde & E.B.G. Jones	ICZN	HK		9.7.94 0:00	3547-1				HKU(M)
8068	5c4ec43f-159b-4643-8362-69a97220a4ed	http://localhost:8080/data/2/5c4ec43f-159b-4643-8362-69a97220a4ed/detail.html	Thu Sep 25 01:14:01 CEST 2008		HKU	Pokfulam	Joanne E. Taylor		HONG KONG, Hong Kong University, University Drive			Specimen					Diatrype chlorosarca Berk. & Broome	ICZN	HK		1.8.94 0:00	3547-2				HKU(M)
8069	6abdad34-8145-4ee8-843f-f7c4b20512d0	http://localhost:8080/data/2/6abdad34-8145-4ee8-843f-f7c4b20512d0/detail.html	Thu Sep 25 01:14:01 CEST 2008		HKU	Pokfulam	Joanne E. Taylor		HONG KONG, Hong Kong University, University Drive			Specimen					Gyrothrix circinata (Berk. & M.A. Curtis) S. Hughes	ICZN	HK		1.8.94 0:00	3547-3				HKU(M)
8070	521504fe-1bb1-4eb0-920d-8a1b266f608b	http://localhost:8080/data/2/521504fe-1bb1-4eb0-920d-8a1b266f608b/detail.html	Thu Sep 25 01:14:01 CEST 2008		HKU	Pokfulam	Joanne E. Taylor		HONG KONG, Hong Kong University, University Drive			Specimen					Gyrothrix circinata (Berk. & M.A. Curtis) S. Hughes	ICZN	HK		1.8.94 0:00	3548				HKU(M)
8071	d20a953a-55d6-4f25-9f6b-4c373e433cd3	http://localhost:8080/data/2/d20a953a-55d6-4f25-9f6b-4c373e433cd3/detail.html	Thu Sep 25 01:14:01 CEST 2008		HKU	University of Malaya	Joanne E. Taylor		MALAYSIA, Kuala Lumpur, University of Malaya, Botanical Gardens			Specimen					Lasiodiplodia theobromae (Pat.) Griff. & Maubl.	ICZN	MY		21.9.94 0:00	3550				HKU(M)
8072	459c2f9a-d9d7-4bf7-95f7-5b19f42ed327	http://localhost:8080/data/2/459c2f9a-d9d7-4bf7-95f7-5b19f42ed327/detail.html	Thu Sep 25 01:14:01 CEST 2008		HKU	University of Malaya	Joanne E. Taylor		MALAYSIA, Kuala Lumpur, University of Malaya, Botanical Gardens			Specimen					Dictyochaeta assamica (Agnihothr.) Aramb., Cabello & Mengasc.	ICZN	MY		21.9.94 0:00	3551-1				HKU(M)
8073	29a830b1-b417-4528-8854-c27377b3b168	http://localhost:8080/data/2/29a830b1-b417-4528-8854-c27377b3b168/detail.html	Thu Sep 25 01:14:01 CEST 2008		HKU	University of Malaya	Joanne E. Taylor		MALAYSIA, Kuala Lumpur, University of Malaya, Botanical Gardens			Specimen					Dictyochaeta assamica (Agnihothr.) Aramb., Cabello & Mengasc.	ICZN	MY		21.9.94 0:00	3553-1				HKU(M)
8074	1e1d8261-3a62-4f40-a052-5810d623cd8d	http://localhost:8080/data/2/1e1d8261-3a62-4f40-a052-5810d623cd8d/detail.html	Thu Sep 25 01:14:01 CEST 2008		HKU	University of Malaya	Joanne E. Taylor		MALAYSIA, Kuala Lumpur, University of Malaya, Botanical Gardens			Specimen					Lasiodiplodia theobromae (Pat.) Griff. & Maubl.	ICZN	MY		21.9.94 0:00	3553-2				HKU(M)
8075	55681864-4675-40fa-ab34-176f30694e40	http://localhost:8080/data/2/55681864-4675-40fa-ab34-176f30694e40/detail.html	Thu Sep 25 01:14:01 CEST 2008		HKU	University of Malaya	Joanne E. Taylor		MALAYSIA, Kuala Lumpur, University of Malaya, Botanical Gardens			Specimen					Lasiodiplodia theobromae (Pat.) Griff. & Maubl.	ICZN	MY		21.9.94 0:00	3554-1				HKU(M)
8076	c7aa5073-a9a9-49ca-9a72-4e214a79f246	http://localhost:8080/data/2/c7aa5073-a9a9-49ca-9a72-4e214a79f246/detail.html	Thu Sep 25 01:14:01 CEST 2008		HKU	University of Malaya	Joanne E. Taylor		MALAYSIA, Kuala Lumpur, University of Malaya, Botanical Gardens			Specimen					Guignardia cocogena (Cooke) Punith.	ICZN	MY		19.9.94 0:00	3555-1				HKU(M)
8077	887aa3ab-2c09-4481-af49-aff94e52d6f6	http://localhost:8080/data/2/887aa3ab-2c09-4481-af49-aff94e52d6f6/detail.html	Thu Sep 25 01:14:01 CEST 2008		HKU	University of Malaya	Joanne E. Taylor		MALAYSIA, Kuala Lumpur, University of Malaya, Botanical Gardens			Specimen					Lasiodiplodia theobromae (Pat.) Griff. & Maubl.	ICZN	MY		21.9.94 0:00	3555-2				HKU(M)
8078	a59e9215-5a3b-4d20-aeb0-51a61768a664	http://localhost:8080/data/2/a59e9215-5a3b-4d20-aeb0-51a61768a664/detail.html	Thu Sep 25 01:14:01 CEST 2008		HKU	University of Malaya	Joanne E. Taylor		MALAYSIA, Kuala Lumpur, University of Malaya, Botanical Gardens			Specimen					Guignardia manokwaria K.D. Hyde	ICZN	MY		19.9.94 0:00	3556-1				HKU(M)
8079	e08c46d6-2037-4317-b7a1-9f77c8499255	http://localhost:8080/data/2/e08c46d6-2037-4317-b7a1-9f77c8499255/detail.html	Thu Sep 25 01:14:01 CEST 2008		HKU	University of Malaya	Joanne E. Taylor		MALAYSIA, Kuala Lumpur, University of Malaya, Botanical Gardens			Specimen					Lasiodiplodia theobromae (Pat.) Griff. & Maubl.	ICZN	MY		21.9.94 0:00	3556-2				HKU(M)
8080	9e6db421-cae5-4ce0-88f7-3cb84ac213c5	http://localhost:8080/data/2/9e6db421-cae5-4ce0-88f7-3cb84ac213c5/detail.html	Thu Sep 25 01:14:01 CEST 2008		HKU		Joanne E. Taylor; Ian C. Taylor		SINGAPORE, Woodlands District			Specimen					Endocalyx melanoxanthus (Berk. & Broome) Petch	ICZN	SG		24.9.94 0:00	3557-1				HKU(M)
8081	103817b2-4e94-46eb-ae18-b2d429377802	http://localhost:8080/data/2/103817b2-4e94-46eb-ae18-b2d429377802/detail.html	Thu Sep 25 01:14:01 CEST 2008		HKU		Joanne E. Taylor		SINGAPORE, Woodlands District			Specimen					Fasciatispora petrakii (Mhaskar & V.G. Rao) K.D. Hyde	ICZN	SG		26.9.94 0:00	3557-2				HKU(M)
8082	a2c8ba60-5da9-4a1e-962c-41513fc63215	http://localhost:8080/data/2/a2c8ba60-5da9-4a1e-962c-41513fc63215/detail.html	Thu Sep 25 01:14:01 CEST 2008		HKU		Joanne E. Taylor		SINGAPORE, Woodlands District			Specimen					Hermatomyces sphaericum (Sacc.) S. Hughes	ICZN	SG		26.9.94 0:00	3557-3				HKU(M)
8083	65ecfe43-3117-4647-811b-d758bb5ca008	http://localhost:8080/data/2/65ecfe43-3117-4647-811b-d758bb5ca008/detail.html	Thu Sep 25 01:14:01 CEST 2008		HKU		Joanne E. Taylor		SINGAPORE, Woodlands District			Specimen					Lasiodiplodia theobromae (Pat.) Griff. & Maubl.	ICZN	SG		26.9.94 0:00	3558				HKU(M)
8084	cc23a2cf-8f95-454f-878f-78b5c256bfa5	http://localhost:8080/data/2/cc23a2cf-8f95-454f-878f-78b5c256bfa5/detail.html	Thu Sep 25 01:14:01 CEST 2008		HKU		Joanne E. Taylor		SINGAPORE, Woodlands District			Specimen					Circinotrichum papakurae S. Hughes & Piroz.	ICZN	SG		26.9.94 0:00	3559-1				HKU(M)
8085	c8e3d9a5-bc62-4396-8282-9cb92ee20b92	http://localhost:8080/data/2/c8e3d9a5-bc62-4396-8282-9cb92ee20b92/detail.html	Thu Sep 25 01:14:01 CEST 2008		HKU		Joanne E. Taylor		SINGAPORE, Woodlands District			Specimen					Guignardia cocogena (Cooke) Punith.	ICZN	SG		26.9.94 0:00	3559-2				HKU(M)
8086	2faad350-3ffe-4b6b-8b0e-c52b7d453560	http://localhost:8080/data/2/2faad350-3ffe-4b6b-8b0e-c52b7d453560/detail.html	Thu Sep 25 01:14:01 CEST 2008		HKU		Joanne E. Taylor		SINGAPORE, Woodlands District			Specimen					Lasiodiplodia theobromae (Pat.) Griff. & Maubl.	ICZN	SG		26.9.94 0:00	3559-3				HKU(M)
8087	3947db7f-4fe6-404a-a46e-d5b5f009a88d	http://localhost:8080/data/2/3947db7f-4fe6-404a-a46e-d5b5f009a88d/detail.html	Thu Sep 25 01:14:01 CEST 2008		HKU		Joanne E. Taylor		SINGAPORE, Woodlands District			Specimen					Circinotrichum papakurae S. Hughes & Piroz.	ICZN	SG		26.9.94 0:00	3560-1				HKU(M)
8088	2b980f17-f1df-4b11-8572-5a632c5e7173	http://localhost:8080/data/2/2b980f17-f1df-4b11-8572-5a632c5e7173/detail.html	Thu Sep 25 01:14:01 CEST 2008		HKU		Joanne E. Taylor		SINGAPORE, Woodlands District			Specimen					Guignardia cocogena (Cooke) Punith.	ICZN	SG		26.9.94 0:00	3560-2				HKU(M)
8089	c2806781-c104-464d-9242-ecdcb5dd48a4	http://localhost:8080/data/2/c2806781-c104-464d-9242-ecdcb5dd48a4/detail.html	Thu Sep 25 01:14:01 CEST 2008		HKU		Joanne E. Taylor		SINGAPORE, Woodlands District			Specimen					Lasiodiplodia theobromae (Pat.) Griff. & Maubl.	ICZN	SG		26.9.94 0:00	3560-3				HKU(M)
8090	311df2e4-83c5-49ac-b550-556b69a5033e	http://localhost:8080/data/2/311df2e4-83c5-49ac-b550-556b69a5033e/detail.html	Thu Sep 25 01:14:01 CEST 2008		HKU		Joanne E. Taylor		SINGAPORE, Woodlands District			Specimen					Lasiodiplodia theobromae (Pat.) Griff. & Maubl.	ICZN	SG		26.9.94 0:00	3561				HKU(M)
8091	3a8efe41-6cc0-45a0-8433-376aa0ec9a2b	http://localhost:8080/data/2/3a8efe41-6cc0-45a0-8433-376aa0ec9a2b/detail.html	Thu Sep 25 01:14:01 CEST 2008		HKU		Joanne E. Taylor		SINGAPORE, Woodlands District			Specimen					Circinotrichum papakurae S. Hughes & Piroz.	ICZN	SG		26.9.94 0:00	3562-1				HKU(M)
8092	00364887-b311-42f1-850b-b05231dbecc1	http://localhost:8080/data/2/00364887-b311-42f1-850b-b05231dbecc1/detail.html	Thu Sep 25 01:14:01 CEST 2008		HKU		Joanne E. Taylor		SINGAPORE, Woodlands District			Specimen					Lasiodiplodia theobromae (Pat.) Griff. & Maubl.	ICZN	SG		26.9.94 0:00	3562-2				HKU(M)
8093	2cb0445d-a6dd-45be-9889-a47ed955a2cd	http://localhost:8080/data/2/2cb0445d-a6dd-45be-9889-a47ed955a2cd/detail.html	Thu Sep 25 01:14:01 CEST 2008		HKU		Joanne E. Taylor; Kevin D. Hyde		AUSTRALIA, Queensland, Fresh Water Creek State Forest			Specimen					Diaporthe pardalota (Mont.) Fuckel	ICZN	AU		17.4.95 0:00	3563-1				HKU(M)
8094	02fef92e-e5a4-47fc-b707-a5682808af35	http://localhost:8080/data/2/02fef92e-e5a4-47fc-b707-a5682808af35/detail.html	Thu Sep 25 01:14:01 CEST 2008		HKU		Joanne E. Taylor; Kevin D. Hyde		AUSTRALIA, Queensland, Fresh Water Creek State Forest			Specimen					Helicomyces lilliputeus R.T. Moore	ICZN	AU		17.4.95 0:00	3563-2				HKU(M)
8095	b162d991-cad5-46e3-82fc-76058151db52	http://localhost:8080/data/2/b162d991-cad5-46e3-82fc-76058151db52/detail.html	Thu Sep 25 01:14:01 CEST 2008		HKU		Joanne E. Taylor; Kevin D. Hyde		AUSTRALIA, Queensland, Fresh Water Creek State Forest			Specimen					Linocarpon australiense K.D. Hyde	ICZN	AU		17.4.95 0:00	3563-3				HKU(M)
8096	ddbda109-2660-4dec-8316-4d0c4a396140	http://localhost:8080/data/2/ddbda109-2660-4dec-8316-4d0c4a396140/detail.html	Thu Sep 25 01:14:01 CEST 2008		HKU		Joanne E. Taylor		AUSTRALIA, Queensland, Fresh Water Creek State Forest			Specimen					Hymenoscyphus c.f. lasiopodius (Pat.) Dennis	ICZN	AU		17.4.95 0:00	3567-1				HKU(M)
8097	2d135e68-3898-45bf-915f-e7c6bda45420	http://localhost:8080/data/2/2d135e68-3898-45bf-915f-e7c6bda45420/detail.html	Thu Sep 25 01:14:01 CEST 2008		HKU		Joanne E. Taylor; Kevin D. Hyde		AUSTRALIA, Queensland, Fresh Water Creek State Forest			Specimen					Arecomyces epigeni K.D. Hyde	ICZN	AU		17.4.95 0:00	3573-1				HKU(M)
8098	4a3f7c1f-2646-4dda-8a9c-33f11061afd8	http://localhost:8080/data/2/4a3f7c1f-2646-4dda-8a9c-33f11061afd8/detail.html	Thu Sep 25 01:14:01 CEST 2008		HKU		Joanne E. Taylor; Kevin D. Hyde		AUSTRALIA, Queensland, Fresh Water Creek State Forest			Specimen					Brachysporiella gayana Bat.	ICZN	AU		17.4.95 0:00	3573-2				HKU(M)
8099	1a0cbaa0-c8b4-419e-9ac2-a7ae727c65b1	http://localhost:8080/data/2/1a0cbaa0-c8b4-419e-9ac2-a7ae727c65b1/detail.html	Thu Sep 25 01:14:01 CEST 2008		HKU		Joanne E. Taylor; Kevin D. Hyde		AUSTRALIA, Queensland, Fresh Water Creek State Forest			Specimen					Diaporthe pardalota (Mont.) Fuckel	ICZN	AU		17.4.95 0:00	3573-3				HKU(M)
