ipt:coreid	ipt:guid	ipt:link	ipt:modified	Family	InstitutionCode	County	Collector	Kingdom	Locality	Genus	MaximumDepthInMeters	BasisOfRecord	Phylum	MinimumDepthInMeters	MinimumElevationInMeters	Class	ScientificName	NomenclaturalCode	Country	MaximumElevationInMeters	EarliestDateCollected	CatalogNumber	StateProvince	Order	Continent	CollectionCode
8033	68c09649-3ace-435c-b525-c60e956c11e4	http://localhost:8080/data/2/68c09649-3ace-435c-b525-c60e956c11e4/detail.html	Thu Sep 25 01:14:00 CEST 2008		HKU	Dunk Island	Jane Fršhlich		AUSTRALIA, Queensland, Dunk Island			Specimen					Chaetospermum camelliae Agnihothrudu	ICZN	AU		6.4.94 0:00	3500-1				HKU(M)
8034	d2542b7f-9274-4fbb-b98b-cdf851e55377	http://localhost:8080/data/2/d2542b7f-9274-4fbb-b98b-cdf851e55377/detail.html	Thu Sep 25 01:14:00 CEST 2008		HKU	Dunk Island	Jane Fršhlich		AUSTRALIA, Queensland, Dunk Island			Specimen					Arthrobotrys dendroides Kuthub., Muid & J. Webster	ICZN	AU		6.4.94 0:00	3503-1				HKU(M)
8035	62e23185-c806-4af7-9bdb-843c2ef5eea8	http://localhost:8080/data/2/62e23185-c806-4af7-9bdb-843c2ef5eea8/detail.html	Thu Sep 25 01:14:00 CEST 2008		HKU	Dunk Island	Jane Fršhlich		AUSTRALIA, Queensland, Dunk Island			Specimen					Linocarpon livistonae (Henn). K.D. Hyde	ICZN	AU		6.4.94 0:00	3508-1				HKU(M)
8036	d59b9e11-3dbd-432c-8262-9ebe2aac8cef	http://localhost:8080/data/2/d59b9e11-3dbd-432c-8262-9ebe2aac8cef/detail.html	Thu Sep 25 01:14:00 CEST 2008		HKU	Dunk Island	Jane Fršhlich		AUSTRALIA, Queensland, Dunk Island			Specimen					Dischloridium laeense (Matsush.) Sutton	ICZN	AU		6.4.94 0:00	3510-1				HKU(M)
8037	7c36e0d8-838d-42ba-b63e-fd536b44e0e2	http://localhost:8080/data/2/7c36e0d8-838d-42ba-b63e-fd536b44e0e2/detail.html	Thu Sep 25 01:14:00 CEST 2008		HKU	Dunk Island	Jane Fršhlich		AUSTRALIA, Queensland, Dunk Island			Specimen					Linocarpon livistonae (Henn). K.D. Hyde	ICZN	AU		6.4.94 0:00	3512				HKU(M)
8038	b56acf5e-af57-45db-ad8f-683b717de6f3	http://localhost:8080/data/2/b56acf5e-af57-45db-ad8f-683b717de6f3/detail.html	Thu Sep 25 01:14:00 CEST 2008		HKU		Joanne E. Taylor; Kevin D. Hyde		HONG KONG, Hong Kong Island, Peak Road			Specimen					Bionectria byssicola (Berk. & Broome) Schroers & Samuels	ICZN	HK		27.6.94 0:00	3518-1				HKU(M)
8039	de40a662-7daf-4e45-bfac-295101d5cf42	http://localhost:8080/data/2/de40a662-7daf-4e45-bfac-295101d5cf42/detail.html	Thu Sep 25 01:14:00 CEST 2008		HKU		Joanne E. Taylor; Kevin D. Hyde		HONG KONG, Hong Kong Island, Peak Road			Specimen					Diaporthe c.f. medusaea Nitschke	ICZN	HK		27.6.94 0:00	3518-2				HKU(M)
8040	8a827db5-c717-4c15-ac9c-43081d7f9f51	http://localhost:8080/data/2/8a827db5-c717-4c15-ac9c-43081d7f9f51/detail.html	Thu Sep 25 01:14:00 CEST 2008		HKU		Joanne E. Taylor; Kevin D. Hyde		HONG KONG, Hong Kong Island, Peak Road			Specimen					Gracilistilbella clavulata (Mont.) Seifert	ICZN	HK		27.6.94 0:00	3518-3				HKU(M)
8041	fab7010c-73f8-4a38-80f9-07734cf69a01	http://localhost:8080/data/2/fab7010c-73f8-4a38-80f9-07734cf69a01/detail.html	Thu Sep 25 01:14:00 CEST 2008		HKU		Joanne E. Taylor; Kevin D. Hyde		HONG KONG, Hong Kong Island, Peak Road			Specimen					Capsulospora brunneispora K.D. Hyde	ICZN	HK		27.6.94 0:00	3522-1				HKU(M)
8042	3ea61174-ee99-470c-8ff8-da901101a639	http://localhost:8080/data/2/3ea61174-ee99-470c-8ff8-da901101a639/detail.html	Thu Sep 25 01:14:00 CEST 2008		HKU		Joanne E. Taylor; Kevin D. Hyde		HONG KONG, Hong Kong Island, Peak Road			Specimen					Helminthosporium c.f. solani Durieu & Mont.	ICZN	HK		27.6.95 0:00	3525-1				HKU(M)
