"COREID","DECIMAL_LATITUDE","GEODETIC_DATUM","COORDINATE_UNCERTAINTY_IN_METERS","DECIMAL_LONGITUDE"
"1670","37.82800","WGS84","1000","35.13600"
"1671","37.82800","WGS84","1000","35.13600"
"1672","37.82800","WGS84","1000","35.13600"
"1673","37.82800","WGS84","1000","35.13600"
"1674","37.82800","WGS84","1000","35.13600"
"1675","37.82800","WGS84","1000","35.13600"
"1676","37.82800","WGS84","1000","35.13600"
"1677","37.82800","WGS84","1000","35.13600"
"1678","37.82800","WGS84","1000","35.13600"
"1679","37.82800","WGS84","1000","35.13600"
"1680","37.82800","WGS84","1000","35.13600"
"1681","37.82800","WGS84","1000","35.13600"
"1682","37.82800","WGS84","1000","35.13600"
"1683","37.82800","WGS84","1000","35.13600"
"1684","37.82800","WGS84","1000","35.13600"
"1685","37.82800","WGS84","1000","35.13600"
"1686","37.82800","WGS84","1000","35.13600"
"1687","37.82800","WGS84","1000","35.13600"
"1688","37.82800","WGS84","1000","35.13600"
"1689","37.82800","WGS84","1000","35.13600"
"1690","37.82800","WGS84","1000","35.13600"
"1691","37.82800","WGS84","1000","35.13600"
"1692","37.82800","WGS84","1000","35.13600"
"1693","37.82800","WGS84","1000","35.13600"
"1694","37.82800","WGS84","1000","35.13600"
"1695","37.82800","WGS84","1000","35.13600"
"1696","37.82800","WGS84","1000","35.13600"
"1697","37.82800","WGS84","1000","35.13600"
"1698","37.82800","WGS84","1000","35.13600"
"1699","37.82800","WGS84","1000","35.13600"
"1700","37.82800","WGS84","1000","35.13600"
"1701","37.82800","WGS84","1000","35.13600"
"1702","37.82800","WGS84","1000","35.13600"
"1703","37.82800","WGS84","1000","35.13600"
"1704","37.82800","WGS84","1000","35.13600"
"1705","37.82800","WGS84","1000","35.13600"
"1706","37.82800","WGS84","1000","35.13600"
"1707","37.82800","WGS84","1000","35.13600"
"1708","37.82800","WGS84","1000","35.13600"
"1709","37.82800","WGS84","1000","35.13600"
"1710","37.82800","WGS84","1000","35.13600"
"1711","37.82800","WGS84","1000","35.13600"
"1712","37.82800","WGS84","1000","35.13600"
"1713","37.82800","WGS84","1000","35.13600"
"1714","37.82800","WGS84","1000","35.13600"
"1715","37.82800","WGS84","1000","35.13600"
"1716","36.56300","WGS84","1000","29.63000"
"1717","37.82800","WGS84","1000","35.13600"
"1718","37.82800","WGS84","1000","35.13600"
"1719","37.82800","WGS84","1000","35.13600"
"1720","37.82800","WGS84","1000","35.13600"
"1721","37.82800","WGS84","1000","35.13600"
"1722","37.82800","WGS84","1000","35.13600"
"1723","37.82800","WGS84","1000","35.13600"
"1724","37.82800","WGS84","1000","35.13600"
"1725","37.82980","WGS84","1000","35.12990"
"1726","37.82980","WGS84","1000","35.12990"
"1727","36.56300","WGS84","1000","29.63000"
"1728","36.56300","WGS84","1000","29.63000"
"1729","37.82980","WGS84","1000","35.12990"
"1730","37.82980","WGS84","1000","35.12990"
"1731","37.82980","WGS84","1000","35.12990"
