"ID","PREFERRED","CREATED","LANG","MODIFIED","RELATION","SOURCE","TITLE","CONCEPT_FK"
"97183","TRUE",,"en","2008-12-17 20:54:28.0",,,"HONG KONG","94958"
"97184","TRUE",,"en","2008-12-17 20:54:28.0",,,"HEARD ISLAND AND MCDONALD ISLANDS","94959"
"97185","TRUE",,"en","2008-12-17 20:54:28.0",,,"HONDURAS","94960"
"97186","TRUE",,"en","2008-12-17 20:54:28.0",,,"CROATIA","94961"
"97187","TRUE",,"en","2008-12-17 20:54:28.0",,,"HAITI","94962"
"97188","TRUE",,"en","2008-12-17 20:54:28.0",,,"HUNGARY","94963"
"97189","TRUE",,"en","2008-12-17 20:54:28.0",,,"INDONESIA","94964"
"97190","TRUE",,"en","2008-12-17 20:54:28.0",,,"IRELAND","94965"
"97191","TRUE",,"en","2008-12-17 20:54:28.0",,,"ISRAEL","94966"
"97192","TRUE",,"en","2008-12-17 20:54:28.0",,,"ISLE OF MAN","94967"
"97193","TRUE",,"en","2008-12-17 20:54:28.0",,,"INDIA","94968"
"97194","TRUE",,"en","2008-12-17 20:54:28.0",,,"BRITISH INDIAN OCEAN TERRITORY","94969"
"97195","TRUE",,"en","2008-12-17 20:54:28.0",,,"IRAQ","94970"
"97196","TRUE",,"en","2008-12-17 20:54:28.0",,,"IRAN (ISLAMIC REPUBLIC OF)","94971"
"97197","TRUE",,"en","2008-12-17 20:54:28.0",,,"ICELAND","94972"
"97198","TRUE",,"en","2008-12-17 20:54:28.0",,,"ITALY","94973"
"97199","TRUE",,"en","2008-12-17 20:54:28.0",,,"JERSEY","94974"
"97200","TRUE",,"en","2008-12-17 20:54:28.0",,,"JAMAICA","94975"
"97201","TRUE",,"en","2008-12-17 20:54:28.0",,,"JORDAN","94976"
"97202","TRUE",,"en","2008-12-17 20:54:28.0",,,"JAPAN","94977"
"97203","TRUE",,"en","2008-12-17 20:54:28.0",,,"KENYA","94978"
"97204","TRUE",,"en","2008-12-17 20:54:28.0",,,"KYRGYZSTAN","94979"
"97205","TRUE",,"en","2008-12-17 20:54:28.0",,,"CAMBODIA","94980"
"97206","TRUE",,"en","2008-12-17 20:54:28.0",,,"KIRIBATI","94981"
"97207","TRUE",,"en","2008-12-17 20:54:28.0",,,"COMOROS","94982"
"97208","TRUE",,"en","2008-12-17 20:54:28.0",,,"SAINT KITTS AND NEVIS","94983"
"97209","TRUE",,"en","2008-12-17 20:54:28.0",,,"KOREA, DEMOCRATIC PEOPLE'S REPUBLIC OF","94984"
"97210","TRUE",,"en","2008-12-17 20:54:28.0",,,"KOREA, REPUBLIC OF","94985"
"97211","TRUE",,"en","2008-12-17 20:54:28.0",,,"KUWAIT","94986"
"97212","TRUE",,"en","2008-12-17 20:54:28.0",,,"CAYMAN ISLANDS","94987"
