CatalogNumber	Latitude	Longitude
1247	37.82980	35.12990
1248	37.82980	35.12990
1249	37.82980	35.12990
125	36.56300	29.63000
1250	37.82980	35.12990
1251	37.82980	35.12990
1252	37.82980	35.12990
1253	37.82980	35.12990
126	36.56300	29.63000
1260	37.82980	35.12990
1261	37.82980	35.12990
1262	37.82980	35.12990
1262x118	37.82980	35.12990
1263	37.82980	35.12990
1264	37.82980	35.12990
1265	37.82980	35.12990
1266	37.82980	35.12990
1267	37.82980	35.12990
1268	37.82980	35.12990
1269	37.82980	35.12990
126x	36.55700	29.61400
126x15	36.60000	30.10000
126x25	36.53800	30.43200
126x8	36.56300	29.63000
127	36.56300	29.63000
1270	37.82980	35.12990
1271	37.82980	35.12990
1272	37.82980	35.12990
1273	37.82980	35.12990
1274	37.82980	35.12990
1275	37.82980	35.12990
1276	37.82980	35.12990
1277	37.82980	35.12990
1278	37.82980	35.12990
1279	37.82980	35.12990
128	36.56300	29.63000
1280	37.82980	35.12990
1281	37.82980	35.12990
1282	37.82980	35.12990
1283	37.82980	35.12990
129	36.56300	29.63000
130	36.56300	29.63000
1300	37.90000	35.15200
1301	37.90000	35.15200
1302	37.90000	35.15200
1303	37.90000	35.15200
1304	37.90000	35.15200
1305	37.90000	35.15200
1306	37.90000	35.15200
1307	37.90000	35.15200
1308	37.90000	35.15200
1309	37.90000	35.15200
131	36.56300	29.63000
1310	37.90000	35.15200
1311	37.90000	35.15200
1312	37.90000	35.15200
1313	37.90000	35.15200
1314	37.90000	35.15200
1315	37.90000	35.15200
1316	37.90000	35.15200
1317	37.90000	35.15200
1318a	37.90000	35.15200
1318b	37.90000	35.15200
1319	37.90000	35.15200
132	36.56300	29.63000
1320	37.90000	35.15200
1321	37.90000	35.15200
1322	37.90000	35.15200
1322x122	37.90000	35.15200
1323	37.90000	35.15200
1323x122	37.90000	35.15200
1324	37.90000	35.15200
1324x122	37.90000	35.15200
1325	37.90000	35.15200
1326	37.90000	35.15200
1327	37.90000	35.15200
1328	37.90000	35.15200
1329	37.90000	35.15200
133	36.56300	29.63000
1330	37.90000	35.15200
1331	37.90000	35.15200
1332	37.90000	35.15200
1333	37.90000	35.15200
1334	37.90000	35.15200
1335	37.90000	35.15200
1336	37.90000	35.15200
1337	37.90000	35.15200
1338	37.90000	35.15200
1339	37.90000	35.15200
133x20	36.60000	30.10000
134	36.56300	29.63000
1340	37.90000	35.15200
1341	37.90000	35.15200
1342	37.90000	35.15200
1343	37.82980	35.12990
1353	37.82980	35.12990
136	36.56300	29.63000
137	36.56300	29.63000
139	36.56300	29.63000
14	37.07000	28.80000
140	36.56300	29.63000
1400	37.82980	35.12990
1400x131	37.82980	35.12990
1401	37.82980	35.12990
1402	37.82980	35.12990
1403	37.82980	35.12990
1403x131	37.82980	35.12990
1404	37.82980	35.12990
1404x131	37.82980	35.12990
1405	37.82980	35.12990
1406	37.82980	35.12990
1406x135	37.82980	35.12990
1407	37.82980	35.12990
1407x133	37.82980	35.12990
1408	37.82980	35.12990
1409	37.82980	35.12990
141	36.56300	29.63000
1410	37.82980	35.12990
1411	37.82980	35.12990
1412	37.82980	35.12990
1413	37.82980	35.12990
1414	37.82980	35.12990
1414x131	37.82980	35.12990
1414x135	37.82980	35.12990
1415	37.82980	35.12990
1416	37.82980	35.12990
1417	37.82980	35.12990
1418	37.82980	35.12990
1419	37.82980	35.12990
142	36.56300	29.63000
1420	37.82980	35.12990
1421	37.82980	35.12990
1422	37.82980	35.12990
1422x132	37.82980	35.12990
1423	37.82980	35.12990
1424	37.82980	35.12990
1425	37.82980	35.12990
1426	37.82980	35.12990
1427	37.82980	35.12990
1427x135	37.82980	35.12990
1428	37.82980	35.12990
1429	37.82980	35.12990
143	36.56300	29.63000
1430	37.82980	35.12990
1431	37.82980	35.12990
1432	37.82980	35.12990
1433	37.76660	35.12540
1434	37.82980	35.12990
1435	37.82980	35.12990
1436	37.82980	35.12990
1437	37.82980	35.12990
1437x135	37.82980	35.12990
1438	37.82980	35.12990
1439	37.82980	35.12990
1439ax135	37.82980	35.12990
1439bx135	37.82980	35.12990
144	36.56300	29.63000
1440	37.82980	35.12990
1441	37.82980	35.12990
1442	37.82980	35.12990
1443	37.82980	35.12990
145	36.56300	29.63000
1450	37.76660	35.12540
1451	37.76660	35.12540
1452	37.76660	35.12540
1453	37.76660	35.12540
1454	37.76660	35.12540
1455	37.76660	35.12540
1456	37.76660	35.12540
1457	37.76660	35.12540
1458	37.76660	35.12540
1459	37.76660	35.12540
146	36.56300	29.63000
1460	37.76660	35.12540
1461	37.76660	35.12540
1462	37.76660	35.12540
1463	37.76660	35.12540
1464a	37.76660	35.12540
1464b	37.76660	35.12540
1465	37.76660	35.12540
1466	37.76660	35.12540
1467	37.76660	35.12540
1468	37.76660	35.12540
147	36.56300	29.63000
1470	37.76660	35.12540
1471	37.76660	35.12540
1472	37.76660	35.12540
1473	37.76660	35.12540
1474	37.76660	35.12540
1475	37.76660	35.12540
1476	37.76660	35.12540
1477	37.76660	35.12540
1478	37.76660	35.12540
1479	37.76660	35.12540
148	36.56300	29.63000
1480	37.76660	35.12540
1481	37.76660	35.12540
1482	37.76660	35.12540
1483	37.76660	35.12540
1484	37.76660	35.12540
1485	37.76660	35.12540
1486	37.76660	35.12540
1487	37.76660	35.12540
1488	37.76660	35.12540
1489	37.76660	35.12540
149	36.56300	29.63000
1490	37.76660	35.12540
1491	37.76660	35.12540
1492	37.76660	35.12540
1493	37.76660	35.12540
1494	37.76660	35.12540
1495	37.76660	35.12540
1496	37.76660	35.12540
1497	37.76660	35.12540
1498	37.76660	35.12540
1499	37.76660	35.12540
150	36.56300	29.63000
1500	37.76660	35.12540
1501	37.76660	35.12540
1502	37.82130	35.11050
1503	37.82130	35.11050
1504	37.82130	35.11050
1505	37.82130	35.11050
1506	37.82130	35.11050
1507	37.82130	35.11050
1508	37.82130	35.11050
1509	37.82130	35.11050
151	36.56300	29.63000
1510	37.82130	35.11050
1511	37.82130	35.11050
1512	37.82130	35.11050
1513	37.82130	35.11050
1514	37.82130	35.11050
1515	37.82130	35.11050
1516	37.82130	35.11050
1517	37.82130	35.11050
1518	37.82130	35.11050
1519	37.82130	35.11050
152	36.55700	29.61400
1520	37.82130	35.11050
1521	37.82130	35.11050
1522	37.82130	35.11050
1523	37.82130	35.11050
1524	37.82130	35.11050
1525	37.82130	35.11050
1526	37.82130	35.11050
1527	37.82130	35.11050
1528	37.80750	35.12310
1529	37.80750	35.12310
153	36.55700	29.61400
1530	37.80750	35.12310
1531	37.80750	35.12310
1532	37.80750	35.12310
1533	37.80750	35.12310
1534	37.80750	35.12310
1535	37.80750	35.12310
1536	37.80750	35.12310
1537	37.80750	35.12310
1538	37.80750	35.12310
1539	37.80750	35.12310
154	36.55700	29.61400
1540	37.80750	35.12310
1541	37.80750	35.12310
1542	37.80750	35.12310
1543	37.80750	35.12310
1544	37.80750	35.12310
155	36.55700	29.61400
156	36.55700	29.61400
157	36.55700	29.61400
158	36.55700	29.61400
159	36.55700	29.61400
161	36.55700	29.61400
162	36.55700	29.61400
162x1	36.56300	29.63000
162x16	36.60000	30.10000
163	36.55700	29.61400
164	36.55700	29.61400
165	36.55700	29.61400
166	36.55700	29.61400
167	36.55700	29.61400
168	36.55700	29.61400
169	36.55700	29.61400
17	37.07000	28.80000
170	36.55700	29.61400
171	36.55700	29.61400
172	36.55700	29.61400
173	36.55700	29.61400
174	36.55700	29.61400
175	36.55700	29.61400
1755	37.82980	35.12990
176	36.55700	29.61400
177	36.55700	29.61400
178	36.55700	29.61400
179	36.55700	29.61400
18	37.07000	28.80000
180	36.55700	29.61400
180x	36.55700	29.61400
181	36.55700	29.61400
182a	36.55700	29.61400
182b	36.55700	29.61400
183	36.55700	29.61400
184	36.55700	29.61400
185	36.55700	29.61400
186a	36.55700	29.61400
186b	36.55700	29.61400
187	36.55700	29.61400
188	36.55700	29.61400
189	36.55700	29.61400
190	36.55700	29.61400
191	36.55700	29.61400
192	36.55700	29.61400
192x1	36.56300	29.63000
193	36.55700	29.61400
194	36.55700	29.61400
195	36.55700	29.61400
196	36.55700	29.61400
197	36.55700	29.61400
198	36.55700	29.61400
198x	36.56300	29.63000
199	36.55700	29.61400
20	37.07000	28.80000
200	36.55700	29.61400
2001	37.68000	31.31000
2003	37.76660	35.12540
2004	37.42000	34.56800
2005	36.60000	30.10000
2009	36.82400	30.33700
201	36.55700	29.61400
2013	36.60000	30.10000
202	36.55700	29.61400
203	36.55700	29.61400
204	36.55700	29.61400
205	36.55700	29.61400
206	36.56300	29.63000
207	36.56300	29.63000
208	36.56300	29.63000
209	36.56300	29.63000
211	36.56300	29.63000
212	36.56300	29.63000
213	36.56300	29.63000
214	36.56300	29.63000
215	36.56300	29.63000
216	36.56300	29.63000
216x16	36.60000	30.10000
217	36.56300	29.63000
218	36.56300	29.63000
219	36.56300	29.63000
22	37.07000	28.80000
220	36.56300	29.63000
221	36.56300	29.63000
222	36.56300	29.63000
223	36.56300	29.63000
224	36.56300	29.63000
225	36.56300	29.63000
226	36.56300	29.63000
227	36.56300	29.63000
228	36.56300	29.63000
229	36.56300	29.63000
230	36.56300	29.63000
231	36.56300	29.63000
232	36.56300	29.63000
233	36.60000	30.10000
234	36.60000	30.10000
234x	36.60000	30.10000
235	36.60000	30.10000
236	36.60000	30.10000
237	36.60000	30.10000
237x17	36.60000	30.10000
238	36.60000	30.10000
238x16	36.60000	30.10000
238x17	36.60000	30.10000
238x19	36.60000	30.10000
239	36.60000	30.10000
240	36.60000	30.10000
240x16	36.60000	30.10000
240x19	36.60000	30.10000
241	36.60000	30.10000
241x17	36.60000	30.10000
242	36.60000	30.10000
242x17	36.60000	30.10000
243	36.60000	30.10000
243x19	36.60000	30.10000
244	36.60000	30.10000
245a	36.60000	30.10000
245b	36.60000	30.10000
246	36.60000	30.10000
246x16	36.60000	30.10000
247	36.60000	30.10000
248	36.60000	30.10000
248x20	36.60000	30.10000
249	36.60000	30.10000
249x16	36.60000	30.10000
25	37.07000	28.80000
250	36.60000	30.10000
250x19	36.60000	30.10000
251	36.60000	30.10000
252	36.60000	30.10000
253	36.60000	30.10000
254	36.60000	30.10000
254x19	36.60000	30.10000
254x20	36.60000	30.10000
255	36.60000	30.10000
256	36.60000	30.10000
257	36.60000	30.10000
258	36.60000	30.10000
259	36.60000	30.10000
26	37.07000	28.80000
260	36.60000	30.10000
261	36.60000	30.10000
262	36.60000	30.10000
263	36.60000	30.10000
264	36.60000	30.10000
264x19	36.60000	30.10000
265	36.60000	30.10000
266	36.60000	30.10000
267	36.60000	30.10000
268	36.60000	30.10000
269	36.60000	30.10000
27	37.07000	28.80000
270	36.60000	30.10000
271	36.60000	30.10000
271x21	36.60000	30.10000
272	36.60000	30.10000
273	36.60000	30.10000
274	36.60000	30.10000
274x17	36.60000	30.10000
274x19	36.60000	30.10000
275	36.60000	30.10000
276	36.60000	30.10000
277	36.60000	30.10000
278	36.60000	30.10000
279	36.60000	30.10000
28	37.07000	28.80000
280	36.60000	30.10000
282	36.60000	30.10000
283	36.60000	30.10000
285	36.60000	30.10000
286	36.60000	30.10000
287	36.60000	30.10000
287x24	36.53800	30.43200
288	36.60000	30.10000
289	36.60000	30.10000
