"ID","NOMENCLATURAL_CODE","LOCALITY","SCIENTIFIC_NAME","COLLECTOR","ORDER","CATALOG_NUMBER","GENUS","EARLIEST_DATE_COLLECTED","INFRASPECIFIC_EPITHET","BASIS_OF_RECORD","CONTINENT","FAMILY","COUNTRY","KINGDOM","MINIMUM_ELEVATION_IN_METERS","STATE_PROVINCE","INSTITUTION_CODE","PHYLUM","DECIMAL_LATITUDE","IDENTIFIED_BY","CLASSS","COLLECTION_CODE","SPECIFIC_EPITHET","DECIMAL_LONGITUDE"
"37","ICBN","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Tripleurospermum kotschyi (Boiss.) E.Hossain","Markus Döring","Asterales","1069","Tripleurospermum","1999-08-01 00:00:00.0",,"PreservedSpecimen","Asia","Asteraceae","TR","Plantae","2650","Nigde","BGBM","Magnoliophyta","37.40400","Markus Döring",,"B","kotschyi","34.55800"
"38","ICBN","Sandras Dagi above Agla, ascent from Çirali to the Çiçekbaba Tepesi (main summit), valley below the eastern slope of the summit,","Veronica cuneifolia subsp. cuneifolia","Markus Döring","Scrophulariales","107","Veronica","1999-06-21 00:00:00.0","cuneifolia","PreservedSpecimen","Asia","Scrophulariaceae","TR","Plantae","2180","Mugla","BGBM","Magnoliophyta","37.07000","Markus Döring",,"B","cuneifolia","28.80000"
"39","ICBN","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Astragalus amoenus Fenzl","Markus Döring","Fabales","1070","Astragalus","1999-08-01 00:00:00.0",,"PreservedSpecimen","Asia","Fabaceae","TR","Plantae","2650","Nigde","BGBM","Magnoliophyta","37.40400","Markus Döring",,"B","amoenus","34.55800"
"40","ICBN","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Veronica thymoides subsp. pseudocinerea M.A.Fischer","Markus Döring","Scrophulariales","1071","Veronica","1999-08-01 00:00:00.0","pseudocinerea","PreservedSpecimen","Asia","Scrophulariaceae","TR","Plantae","2650","Nigde","BGBM","Magnoliophyta","37.40400","Markus Döring",,"B","thymoides","34.55800"
"41","ICBN","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Plantago holosteum Scop.","Markus Döring","Plantaginales","1072","Plantago","1999-08-01 00:00:00.0",,"PreservedSpecimen","Asia","Plantaginaceae","TR","Plantae","2650","Nigde","BGBM","Magnoliophyta","37.40400","Markus Döring",,"B","holosteum","34.55800"
"42","ICBN","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Plantago lanceolata L.","Markus Döring","Plantaginales","1073","Plantago","1999-08-01 00:00:00.0",,"PreservedSpecimen","Asia","Plantaginaceae","TR","Plantae","2650","Nigde","BGBM","Magnoliophyta","37.40400","Markus Döring",,"B","lanceolata","34.55800"
"43","ICBN","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Logfia arvensis (L.) Holub","Markus Döring","Asterales","1074","Logfia","1999-08-01 00:00:00.0",,"PreservedSpecimen","Asia","Asteraceae","TR","Plantae","2650","Nigde","BGBM","Magnoliophyta","37.40400","Markus Döring",,"B","arvensis","34.55800"
"44","ICBN","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Asperula setosa Jaub. & Spach","Markus Döring","Rubiales","1075","Asperula","1999-08-01 00:00:00.0",,"PreservedSpecimen","Asia","Rubiaceae","TR","Plantae","2650","Nigde","BGBM","Magnoliophyta","37.40400","Markus Döring",,"B","setosa","34.55800"
"45","ICBN","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Scleranthus uncinatus Schur","Markus Döring","Caryophyllales","1076","Scleranthus","1999-08-01 00:00:00.0",,"PreservedSpecimen","Asia","Caryophyllaceae","TR","Plantae","2650","Nigde","BGBM","Magnoliophyta","37.40400","Markus Döring",,"B","uncinatus","34.55800"
"46","ICBN","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Scorzonera cana var. radicosa (Boiss.) D.F.Chamb.","Markus Döring","Asterales","1077","Scorzonera","1999-08-01 00:00:00.0",,"PreservedSpecimen","Asia","Asteraceae","TR","Plantae","2650","Nigde","BGBM","Magnoliophyta","37.40400","Markus Döring",,"B","cana","34.55800"
"47","ICBN","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Poa bulbosa agg. L.","Markus Döring","Cyperales","1078","Poa","1999-08-01 00:00:00.0",,"PreservedSpecimen","Asia","Poaceae","TR","Plantae","2650","Nigde","BGBM","Magnoliophyta","37.40400","Markus Döring",,"B","bulbosa agg.","34.55800"
"48","ICBN","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Galium cilicicum Boiss.","Markus Döring","Rubiales","1079","Galium","1999-08-01 00:00:00.0",,"PreservedSpecimen","Asia","Rubiaceae","TR","Plantae","2650","Nigde","BGBM","Magnoliophyta","37.40400","Markus Döring",,"B","cilicicum","34.55800"
"49","ICBN","Sandras Dagi above Agla, ascent from Çirali to the Çiçekbaba Tepesi (main summit), valley below the eastern slope of the summit,","Gagea uliginosa Siehe & Pascher","Markus Döring","Liliales","108","Gagea","1999-06-21 00:00:00.0",,"PreservedSpecimen","Asia","Liliaceae","TR","Plantae","2180","Mugla","BGBM","Magnoliophyta","37.07000","Markus Döring",,"B","uliginosa","28.80000"
"50","ICBN","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Astragalus depressus L.","Markus Döring","Fabales","1080","Astragalus","1999-08-01 00:00:00.0",,"PreservedSpecimen","Asia","Fabaceae","TR","Plantae","2650","Nigde","BGBM","Magnoliophyta","37.40400","Markus Döring",,"B","depressus","34.55800"
"51","ICBN","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Alyssum strigosum subsp. strigosum","Markus Döring","Capparales","1081","Alyssum","1999-08-01 00:00:00.0","strigosum","PreservedSpecimen","Asia","Brassicaceae","TR","Plantae","2650","Nigde","BGBM","Magnoliophyta","37.40400","Markus Döring",,"B","strigosum","34.55800"
"52","ICBN","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Taraxacum assemanii Blanche","Markus Döring","Asterales","1082","Taraxacum","1999-08-01 00:00:00.0",,"PreservedSpecimen","Asia","Asteraceae","TR","Plantae","2650","Nigde","BGBM","Magnoliophyta","37.40400","Markus Döring",,"B","assemanii","34.55800"
"53","ICBN","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Myosotis alpestris subsp. alpestris","Markus Döring","Lamiales","1083","Myosotis","1999-08-01 00:00:00.0","alpestris","PreservedSpecimen","Asia","Boraginaceae","TR","Plantae","2650","Nigde","BGBM","Magnoliophyta","37.40400","Markus Döring",,"B","alpestris","34.55800"
"54","ICBN","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Galium incanum subsp. centrale Ehrend.","Markus Döring","Rubiales","1084","Galium","1999-08-01 00:00:00.0","centrale","PreservedSpecimen","Asia","Rubiaceae","TR","Plantae","2650","Nigde","BGBM","Magnoliophyta","37.40400","Markus Döring",,"B","incanum","34.55800"
"55","ICBN","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Polygonum arenastrum Bor.","Markus Döring","Polygonales","1085","Polygonum","1999-08-01 00:00:00.0",,"PreservedSpecimen","Asia","Polygonaceae","TR","Plantae","2650","Nigde","BGBM","Magnoliophyta","37.40400","Markus Döring",,"B","arenastrum","34.55800"
"56","ICBN","d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m","Herniaria glabra L.","Markus Döring","Caryophyllales","1086","Herniaria","1999-08-01 00:00:00.0",,"PreservedSpecimen","Asia","Caryophyllaceae","TR","Plantae","2650","Nigde","BGBM","Magnoliophyta","37.40400","Markus Döring",,"B","glabra","34.55800"
