"ID","NOMENCLATURAL_CODE","LABEL","RANK","LOCAL_ID","GUID","LINK","NOTES","TAXONOMIC_STATUS","NOMENCLATURAL_STATUS","NOMENCLATURAL_REFERENCE","ACCEPTED_TAXON_ID","ACCEPTEDTAXON","TAXONOMIC_PARENT_ID","PARENTTAXON"
"30256","icbn","Calendula parviflora Raf. [non Thunb. 1800]","Species","20","894be0ef-f40f-48bb-bbd1-ce476ae86a93","http://localhost:8080/10/894be0ef-f40f-48bb-bbd1-ce476ae86a93/detail.html",,"Heterotypic Synonym",,"Caratt. Nuov. Gen.: 83. 1810","7","Calendula arvensis (Vaill.) L.","NULL",
"30257","icbn","Calendula persica C. A. Mey.","Species","21","637e8aaf-2cd7-42e8-9323-8f799890b917","http://localhost:8080/10/637e8aaf-2cd7-42e8-9323-8f799890b917/detail.html",,"Heterotypic Synonym",,"Verz. Pfl. Casp. Meer.: 72. 1831","7","Calendula arvensis (Vaill.) L.","NULL",
"30258","icbn","Calendula sancta L.","Species","22","e2944fdb-95b8-46a8-9e76-943944cf4070","http://localhost:8080/10/e2944fdb-95b8-46a8-9e76-943944cf4070/detail.html",,"Heterotypic Synonym",,"""Sp. Pl., ed. 2: 1304. 1763""","7","Calendula arvensis (Vaill.) L.","NULL",
"30259","icbn","Calendula sinuata Boiss. & Gaill.","Species","23","03816475-31e7-4f61-b0e2-74c084ce27d7","http://localhost:8080/10/03816475-31e7-4f61-b0e2-74c084ce27d7/detail.html",,"Heterotypic Synonym",,"""in Boissier, Diagn. Pl. Orient., ser. 2, 6: 109. 1859""","7","Calendula arvensis (Vaill.) L.","NULL",
"30260","icbn","Calendula sublanata Rchb. f.","Species","24","f35f4f2e-9ec6-4716-9648-b9467870471e","http://localhost:8080/10/f35f4f2e-9ec6-4716-9648-b9467870471e/detail.html",,"Heterotypic Synonym",,"""in Reichenbach, Icon. Fl. Germ. Helv. 15: 99. 1853""","7","Calendula arvensis (Vaill.) L.","NULL",
"30261","icbn","Calendula arvensis subsp. aegyptiaca (Pers.) Hayek","Subspecies","25","61613d1f-3535-46a5-b171-e8fe25194962","http://localhost:8080/10/61613d1f-3535-46a5-b171-e8fe25194962/detail.html",,"Heterotypic Synonym",,"in Repert. Spec. Nov. Regni Veg. Beih. 30(2): 685. 1931","7","Calendula arvensis (Vaill.) L.","NULL",
"30262","icbn","Calendula arvensis subsp. bicolor (Raf.) Nyman","Subspecies","26","f4d0e8bf-4654-4178-adac-c471d7559f6f","http://localhost:8080/10/f4d0e8bf-4654-4178-adac-c471d7559f6f/detail.html",,"Heterotypic Synonym",,"Consp. Fl. Eur.: 398. 1879","7","Calendula arvensis (Vaill.) L.","NULL",
"30263","icbn","Calendula arvensis subsp. hydruntina (Fiori) Lanza","Subspecies","27","34d7fdf7-875f-4899-8b09-2af702e5cb14","http://localhost:8080/10/34d7fdf7-875f-4899-8b09-2af702e5cb14/detail.html",,"Heterotypic Synonym",,"in Atti Reale Accad. Sci. Lett. Belle Arti Palermo 11: 113. 1919","7","Calendula arvensis (Vaill.) L.","NULL",
"30264","icbn","Calendula arvensis subsp. macroptera Rouy","Subspecies","28","66ff64b9-2ab9-4e2f-b1f6-3b0f31c43963","http://localhost:8080/10/66ff64b9-2ab9-4e2f-b1f6-3b0f31c43963/detail.html",,"Heterotypic Synonym",,"Fl. France 8: 355. 1903","7","Calendula arvensis (Vaill.) L.","NULL",
"30265","icbn","Calendula arvensis subsp. malacitana (Boiss. & Reut.) Cout.","Subspecies","29","4c963174-eccf-4945-a8eb-2653eaf72008","http://localhost:8080/10/4c963174-eccf-4945-a8eb-2653eaf72008/detail.html",,"Heterotypic Synonym",,"Fl. Portugal: 642. 1913","7","Calendula arvensis (Vaill.) L.","NULL",
"30266","icbn","Calendula arvensis subsp. micrantha (Tineo & Guss.) Arcang.","Subspecies","30","981f57ad-8715-4479-b676-a6934f3d4b97","http://localhost:8080/10/981f57ad-8715-4479-b676-a6934f3d4b97/detail.html",,"Heterotypic Synonym",,"""Comp. Fl. Ital., ed. 2: 695. 1894""","7","Calendula arvensis (Vaill.) L.","NULL",
"30267","icbn","Calendula arvensis subsp. sublanata (Rchb. f.) Nyman","Subspecies","31","6bf29a22-84d6-4c6f-82ac-195c3549e12a","http://localhost:8080/10/6bf29a22-84d6-4c6f-82ac-195c3549e12a/detail.html",,"Heterotypic Synonym",,"Consp. Fl. Eur.: 398. 1879","7","Calendula arvensis (Vaill.) L.","NULL",
"30268","icbn","Calendula sancta subsp. crista-galli (Viv.) Gallego & Talavera","Subspecies","32","fdaadb53-22e8-4146-a85f-441ed0be4362","http://localhost:8080/10/fdaadb53-22e8-4146-a85f-441ed0be4362/detail.html",,"Heterotypic Synonym",,"in Lagascalia 11: 103. 1983","7","Calendula arvensis (Vaill.) L.","NULL",
"30269","icbn","Calendula officinalis var. hydruntina Fiori","Variety","33","43c1e18d-4776-4e89-991d-41e1ff9fa3a9","http://localhost:8080/10/43c1e18d-4776-4e89-991d-41e1ff9fa3a9/detail.html",,"Heterotypic Synonym",,"""in Fiori & Paoletti, Fl. Italia 3: 298. 1904""","7","Calendula arvensis (Vaill.) L.","NULL",
"30270","icbn","Calendula arvensis subsp. communis","NULL","34","1ed95628-d75d-4bca-83f2-ab55def08342","http://localhost:8080/10/1ed95628-d75d-4bca-83f2-ab55def08342/detail.html",,,"nom. inval.",,"7","Calendula arvensis (Vaill.) L.","NULL",
"30271","icbn","Calendula persica subsp. gracilis","NULL","35","810c951b-bf84-4814-895c-a04a3724923f","http://localhost:8080/10/810c951b-bf84-4814-895c-a04a3724923f/detail.html",,,"nom. inval.",,"7","Calendula arvensis (Vaill.) L.","NULL",
"30272","icbn","""Calendula stellata sec. Willkomm, M. & Lange J.""","NULL","36","33b9fd19-a467-4db1-9a22-1e5961ae26e0","http://localhost:8080/10/33b9fd19-a467-4db1-9a22-1e5961ae26e0/detail.html",,"misapplied name",,"Prodromus florae hispanicae 2 Stuttgart 1865-1870.","7","Calendula arvensis (Vaill.) L.","NULL",
"30273","icbn","""Calendula stellata sec. Willkomm, M""","NULL","37","4c35d7e7-f4b1-4cb5-bcfe-36da0f717317","http://localhost:8080/10/4c35d7e7-f4b1-4cb5-bcfe-36da0f717317/detail.html",,"misapplied name",,"Supplementum prodromi florae hispanicae 2 Stuttgart 1893.","7","Calendula arvensis (Vaill.) L.","NULL",
"30274","icbn","""Calendula tripterocarpa sec. Tutin, T. G., Heywood, V. H., Burges, N. A., Valentine, D. H., Walters, S. M. & Webb, D. A.""","NULL","38","74b5454e-fc0b-4d5a-93e2-5314927d902f","http://localhost:8080/10/74b5454e-fc0b-4d5a-93e2-5314927d902f/detail.html",,"misapplied name",,"""Flora europaea 4 [Tutin, T. G., Heywood, V. H., Burges, N. A., Moore, D. M., Valentine, D. H., Walters, S. M. & Webb, D. A.] Cambridge University Press Cambridge 1976.""","7","Calendula arvensis (Vaill.) L.","NULL",
"30275","icbn","""Calendula tripterocarpa sec. Gamisans, J.""","NULL","39","c007019b-3038-48a9-ad72-285a8479a322","http://localhost:8080/10/c007019b-3038-48a9-ad72-285a8479a322/detail.html",,"misapplied name",,"Catalogue des plantes vasculaires de la Corse Ajaccio 1985","7","Calendula arvensis (Vaill.) L.","NULL",
"30276","icbn","""Calendula tripterocarpa sec. Jeanmonod, D. & Burdet, H. M.""","NULL","40","b9cb2ca1-ef2c-49b1-b142-d8bca40c669b","http://localhost:8080/10/b9cb2ca1-ef2c-49b1-b142-d8bca40c669b/detail.html",,"misapplied name",,"""Compl�ments au prodrome de la flore corse. Annexe 3 [Gamisans, J. & Jeanmonod, D.] Gen�ve 1993.""","7","Calendula arvensis (Vaill.) L.","NULL",
"30277","icbn","""Calendula tripterocarpa sec. Pignatti, S.""","NULL","41","3106b5b1-7e78-4511-8806-ea671e32f103","http://localhost:8080/10/3106b5b1-7e78-4511-8806-ea671e32f103/detail.html",,"misapplied name",,"Flora d'Italia 3 Bologna 1982.","7","Calendula arvensis (Vaill.) L.","NULL",
"30278","icbn","""Calendula tripterocarpa"""" sec. Duvigneaud, J. (1979)""","NULL","42","9d62a707-23fc-42ca-ba45-65d83ed96fdf","http://localhost:8080/10/9d62a707-23fc-42ca-ba45-65d83ed96fdf/detail.html",,"misapplied name",,"""Catalogue provisoire de la flore des Bal�ares [ed. 2] - Soc. �change Pl. Vasc. Eur. Occid. M�dit. 17, Suppl.: 1-43.""","7","Calendula arvensis (Vaill.) L.","NULL",
