"ID","FAMILY","INSTITUTION_CODE","INFRASPECIFIC_EPITHET","REMARKS","COLLECTOR","KINGDOM","LOCALITY","GENUS","INFRASPECIFIC_RANK","BASIS_OF_RECORD","PHYLUM","SPECIFIC_EPITHET","MINIMUM_ELEVATION_IN_METERS","CLASS","SCIENTIFIC_NAME","NOMENCLATURAL_CODE","EARLIEST_DATE_COLLECTED","COUNTRY","CATALOG_NUMBER","STATE_PROVINCE","AUTHOR_YEAR_OF_SCIENTIFIC_NAME","ORDER","CONTINENT","COLLECTION_CODE"
"1534","Lamiaceae","BGBM",,,"Markus Döring","Plantae","Doganbey - Seferihisar. Near sea , 0m. N 38°06´25´´ O 26°51´03´´","Ballota",,"PreservedSpecimen","Magnoliophyta","acetabulosa","0",,"Ballota acetabulosa (L.) Benth.","ICBN","1999-06-18 00:00:00.0","TR","1","Ïzmir","(L.) Benth.","Lamiales","Asia","B"
"1535","Asteraceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Achillea",,"PreservedSpecimen","Magnoliophyta","falcata","2350",,"Achillea falcata L.","ICBN","1999-07-30 00:00:00.0","TR","1035","Nigde","L.","Asterales","Asia","B"
"1536","Asteraceae","BGBM","carduiformis",,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Centaurea","Variety","PreservedSpecimen","Magnoliophyta","carduiformis","2350",,"Centaurea carduiformis var. carduiformis","ICBN","1999-07-30 00:00:00.0","TR","1036","Nigde",,"Asterales","Asia","B"
"1537","Rosaceae","BGBM","muricata",,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Sanguisorba","Subspecies","PreservedSpecimen","Magnoliophyta","minor","2350",,"Sanguisorba minor subsp. muricata (Spach) Briq.","ICBN","1999-07-30 00:00:00.0","TR","1037","Nigde","(Spach) Briq.","Rosales","Asia","B"
"1538","Asteraceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Xeranthemum",,"PreservedSpecimen","Magnoliophyta","annuum","2350",,"Xeranthemum annuum L.","ICBN","1999-07-30 00:00:00.0","TR","1038","Nigde","L.","Asterales","Asia","B"
"1539","Fabaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Astragalus",,"PreservedSpecimen","Magnoliophyta","haussknechtii","2350",,"Astragalus haussknechtii Bunge","ICBN","1999-07-30 00:00:00.0","TR","1039","Nigde","Bunge","Fabales","Asia","B"
"1540","Papaveraceae","BGBM",,,"Markus Döring","Plantae","Sandras Dagi above Agla, ascent from Çirali to the Çiçekbaba Tepesi (main summit), valley below the eastern slope of the summit,","Corydalis",,"PreservedSpecimen","Magnoliophyta","erdelii","2180",,"Corydalis erdelii Zucc.","ICBN","1999-06-21 00:00:00.0","TR","104","Mugla","Zucc.","Papaverales","Asia","B"
"1541","Poaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Festuca",,"PreservedSpecimen","Magnoliophyta","valesiaca","2350",,"Festuca valesiaca Schleicher ex Gaudin","ICBN","1999-07-30 00:00:00.0","TR","1040","Nigde","Schleicher ex Gaudin","Cyperales","Asia","B"
"1542","Poaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Koeleria",,"PreservedSpecimen","Magnoliophyta","macrantha","2350",,"Koeleria macrantha (Ledeb.) Schult.","ICBN","1999-07-30 00:00:00.0","TR","1041","Nigde","(Ledeb.) Schult.","Cyperales","Asia","B"
"1543","Fabaceae","BGBM","cadmea",,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2200m","Onobrychis","Subspecies","PreservedSpecimen","Magnoliophyta","montana","2200",,"Onobrychis montana subsp. cadmea (Boiss.) P.W. Ball","ICBN","1999-07-31 00:00:00.0","TR","1042","Nigde","(Boiss.) P.W. Ball","Fabales","Asia","B"
"1544","Caryophyllaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2200m","Gypsophila",,"PreservedSpecimen","Magnoliophyta","curvifolia","2200",,"Gypsophila curvifolia Fenzl","ICBN","1999-07-31 00:00:00.0","TR","1043","Nigde","Fenzl","Caryophyllales","Asia","B"
"1545","Plantaginaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2200m","Plantago",,"PreservedSpecimen","Magnoliophyta","media","2200",,"Plantago media L.","ICBN","1999-07-31 00:00:00.0","TR","1044","Nigde","L.","Plantaginales","Asia","B"
"1546","Caryophyllaceae","BGBM",,,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2200m","Minuartia",,"PreservedSpecimen","Magnoliophyta","juniperina","2200",,"Minuartia juniperina (L.) Maire & Petitm.","ICBN","1999-07-31 00:00:00.0","TR","1045","Nigde","(L.) Maire & Petitm.","Caryophyllales","Asia","B"
"1547","Apiaceae","BGBM","lithophila",,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2200m","Pimpinella","Subspecies","PreservedSpecimen","Magnoliophyta","tragium","2200",,"Pimpinella tragium subsp. lithophila (I. Schischk.) Tutin","ICBN","1999-07-31 00:00:00.0","TR","1046","Nigde","(I. Schischk.) Tutin","Apiales","Asia","B"
"1548","Campanulaceae","BGBM","rigidum",,"Markus Döring","Plantae","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2200m","Asyneuma","Subspecies","PreservedSpecimen","Magnoliophyta","rigidum","2200",,"Asyneuma rigidum subsp. rigidum","ICBN","1999-07-31 00:00:00.0","TR","1047","Nigde",,"Campanulales","Asia","B"
