ipt:coreid	DecimalLatitude	GeodeticDatum	CoordinateUncertaintyInMeters	DecimalLongitude
6649	37.82800	WGS84	1000	35.13600
6650	37.82800	WGS84	1000	35.13600
6651	37.82800	WGS84	1000	35.13600
6652	37.82800	WGS84	1000	35.13600
6653	37.82800	WGS84	1000	35.13600
6654	37.82800	WGS84	1000	35.13600
6655	37.82800	WGS84	1000	35.13600
6656	37.82800	WGS84	1000	35.13600
6657	37.82800	WGS84	1000	35.13600
6658	37.82800	WGS84	1000	35.13600
6659	37.82800	WGS84	1000	35.13600
6660	37.82800	WGS84	1000	35.13600
6661	37.82800	WGS84	1000	35.13600
6662	37.82800	WGS84	1000	35.13600
6663	37.82800	WGS84	1000	35.13600
6664	37.82800	WGS84	1000	35.13600
6665	37.82800	WGS84	1000	35.13600
6666	37.82800	WGS84	1000	35.13600
6667	37.82800	WGS84	1000	35.13600
6668	37.82800	WGS84	1000	35.13600
6669	37.82800	WGS84	1000	35.13600
6670	37.82800	WGS84	1000	35.13600
6671	37.82800	WGS84	1000	35.13600
6672	37.82800	WGS84	1000	35.13600
6673	37.82800	WGS84	1000	35.13600
6674	37.82800	WGS84	1000	35.13600
6675	37.82800	WGS84	1000	35.13600
6676	37.82800	WGS84	1000	35.13600
6677	37.82800	WGS84	1000	35.13600
6678	37.82800	WGS84	1000	35.13600
6679	37.82800	WGS84	1000	35.13600
6680	37.82800	WGS84	1000	35.13600
6681	37.82800	WGS84	1000	35.13600
6682	36.56300	WGS84	1000	29.63000
6683	37.82800	WGS84	1000	35.13600
6684	37.82800	WGS84	1000	35.13600
6685	37.82800	WGS84	1000	35.13600
6686	37.82800	WGS84	1000	35.13600
6687	37.82800	WGS84	1000	35.13600
6688	37.82800	WGS84	1000	35.13600
6689	37.82800	WGS84	1000	35.13600
6690	37.82800	WGS84	1000	35.13600
6691	37.82980	WGS84	1000	35.12990
6692	37.82980	WGS84	1000	35.12990
6693	36.56300	WGS84	1000	29.63000
6694	36.56300	WGS84	1000	29.63000
6695	37.82980	WGS84	1000	35.12990
6696	37.82980	WGS84	1000	35.12990
6697	37.82980	WGS84	1000	35.12990
6698	37.82980	WGS84	1000	35.12990
6699	37.82980	WGS84	1000	35.12990
6700	37.82980	WGS84	1000	35.12990
6701	37.82980	WGS84	1000	35.12990
6702	37.82980	WGS84	1000	35.12990
6703	37.82980	WGS84	1000	35.12990
6704	37.82980	WGS84	1000	35.12990
6705	37.82980	WGS84	1000	35.12990
6706	37.82980	WGS84	1000	35.12990
6707	37.82980	WGS84	1000	35.12990
6708	36.56300	WGS84	1000	29.63000
6709	37.82980	WGS84	1000	35.12990
6710	37.82980	WGS84	1000	35.12990
6711	37.82980	WGS84	1000	35.12990
6712	37.82980	WGS84	1000	35.12990
6713	37.82980	WGS84	1000	35.12990
6714	37.82980	WGS84	1000	35.12990
6715	37.82980	WGS84	1000	35.12990
6716	37.82980	WGS84	1000	35.12990
6717	37.82980	WGS84	1000	35.12990
6718	37.82980	WGS84	1000	35.12990
6719	37.82980	WGS84	1000	35.12990
6720	37.82980	WGS84	1000	35.12990
6721	36.56300	WGS84	1000	29.63000
6722	37.82980	WGS84	1000	35.12990
6723	37.82980	WGS84	1000	35.12990
6724	37.82980	WGS84	1000	35.12990
6725	37.82980	WGS84	1000	35.12990
6726	37.82980	WGS84	1000	35.12990
6727	37.82980	WGS84	1000	35.12990
6728	37.82980	WGS84	1000	35.12990
6729	37.82980	WGS84	1000	35.12990
6730	37.82980	WGS84	1000	35.12990
6731	37.82980	WGS84	1000	35.12990
6732	37.82980	WGS84	1000	35.12990
6733	37.82980	WGS84	1000	35.12990
6734	36.56300	WGS84	1000	29.63000
6735	37.82980	WGS84	1000	35.12990
6736	37.82980	WGS84	1000	35.12990
6737	37.82980	WGS84	1000	35.12990
6738	37.82980	WGS84	1000	35.12990
6739	37.82980	WGS84	1000	35.12990
6740	37.82980	WGS84	1000	35.12990
6741	37.82980	WGS84	1000	35.12990
6742	37.82980	WGS84	1000	35.12990
6743	37.82980	WGS84	1000	35.12990
6744	37.82980	WGS84	1000	35.12990
6745	37.82980	WGS84	1000	35.12990
6746	37.82980	WGS84	1000	35.12990
6747	36.56300	WGS84	1000	29.63000
6748	37.82980	WGS84	1000	35.12990
6749	37.82980	WGS84	1000	35.12990
6750	37.82980	WGS84	1000	35.12990
6751	37.82980	WGS84	1000	35.12990
6752	36.56300	WGS84	1000	29.63000
6753	37.82980	WGS84	1000	35.12990
6754	37.82980	WGS84	1000	35.12990
6755	37.82980	WGS84	1000	35.12990
6756	37.82980	WGS84	1000	35.12990
6757	37.82980	WGS84	1000	35.12990
6758	37.82980	WGS84	1000	35.12990
6759	37.82980	WGS84	1000	35.12990
6760	37.82980	WGS84	1000	35.12990
6761	37.82980	WGS84	1000	35.12990
6762	37.82980	WGS84	1000	35.12990
6763	37.82980	WGS84	1000	35.12990
6764	36.55700	WGS84	1000	29.61400
6765	36.60000	WGS84	1000	30.10000
6766	36.53800	WGS84	1000	30.43200
6767	36.56300	WGS84	1000	29.63000
6768	36.56300	WGS84	1000	29.63000
6769	37.82980	WGS84	1000	35.12990
6770	37.82980	WGS84	1000	35.12990
6771	37.82980	WGS84	1000	35.12990
6772	37.82980	WGS84	1000	35.12990
6773	37.82980	WGS84	1000	35.12990
6774	37.82980	WGS84	1000	35.12990
6775	37.82980	WGS84	1000	35.12990
6776	37.82980	WGS84	1000	35.12990
6777	37.82980	WGS84	1000	35.12990
6778	37.82980	WGS84	1000	35.12990
6779	36.56300	WGS84	1000	29.63000
6780	37.82980	WGS84	1000	35.12990
6781	37.82980	WGS84	1000	35.12990
6782	37.82980	WGS84	1000	35.12990
6783	37.82980	WGS84	1000	35.12990
6784	36.56300	WGS84	1000	29.63000
6785	36.56300	WGS84	1000	29.63000
6786	37.90000	WGS84	1000	35.15200
6787	37.90000	WGS84	1000	35.15200
6788	37.90000	WGS84	1000	35.15200
6789	37.90000	WGS84	1000	35.15200
6790	37.90000	WGS84	1000	35.15200
6791	37.90000	WGS84	1000	35.15200
6792	37.90000	WGS84	1000	35.15200
6793	37.90000	WGS84	1000	35.15200
6794	37.90000	WGS84	1000	35.15200
6795	37.90000	WGS84	1000	35.15200
6796	36.56300	WGS84	1000	29.63000
6797	37.90000	WGS84	1000	35.15200
6798	37.90000	WGS84	1000	35.15200
6799	37.90000	WGS84	1000	35.15200
6800	37.90000	WGS84	1000	35.15200
6801	37.90000	WGS84	1000	35.15200
6802	37.90000	WGS84	1000	35.15200
6803	37.90000	WGS84	1000	35.15200
6804	37.90000	WGS84	1000	35.15200
6805	37.90000	WGS84	1000	35.15200
6806	37.90000	WGS84	1000	35.15200
6807	37.90000	WGS84	1000	35.15200
6808	36.56300	WGS84	1000	29.63000
6809	37.90000	WGS84	1000	35.15200
6810	37.90000	WGS84	1000	35.15200
6811	37.90000	WGS84	1000	35.15200
6812	37.90000	WGS84	1000	35.15200
6813	37.90000	WGS84	1000	35.15200
6814	37.90000	WGS84	1000	35.15200
6815	37.90000	WGS84	1000	35.15200
6816	37.90000	WGS84	1000	35.15200
6817	37.90000	WGS84	1000	35.15200
6818	37.90000	WGS84	1000	35.15200
6819	37.90000	WGS84	1000	35.15200
6820	37.90000	WGS84	1000	35.15200
6821	37.90000	WGS84	1000	35.15200
6822	36.56300	WGS84	1000	29.63000
6823	37.90000	WGS84	1000	35.15200
6824	37.90000	WGS84	1000	35.15200
6825	37.90000	WGS84	1000	35.15200
6826	37.90000	WGS84	1000	35.15200
6827	37.90000	WGS84	1000	35.15200
6828	37.90000	WGS84	1000	35.15200
6829	37.90000	WGS84	1000	35.15200
6830	37.90000	WGS84	1000	35.15200
6831	37.90000	WGS84	1000	35.15200
6832	37.90000	WGS84	1000	35.15200
6833	36.60000	WGS84	1000	30.10000
6834	36.56300	WGS84	1000	29.63000
6835	37.90000	WGS84	1000	35.15200
