Collection code	Catalogue No	Country (interpreted)	Latitude	Longitude	Coordinate precision	Cell id	Centi cell id
HKU(M)	3615	AU	-16.1	145.3		26605	93
HKU(M)	3617-1	AU	-16.1	145.3		26605	93
HKU(M)	3618-1	HK	22.3	114.3		40614	33
HKU(M)	3619	AU	-16.1	145.3		26605	93
HKU(M)	3620-1	AU	-16.1	145.3		26605	93
HKU(M)	3622	AU	-16.1	145.3		26605	93
HKU(M)	3623-1	AU	-16.1	145.3		26605	93
HKU(M)	3624	AU	-16.1	145.3		26605	93
HKU(M)	3627-1	AU	-16.1	145.3		26605	93
HKU(M)	3630-1	AU	-16.1	145.3		26605	93
HKU(M)	3630-2	AU	-16.1	145.3		26605	93
HKU(M)	3632-1	AU	-16.1	145.3		26605	93
HKU(M)	3632-2	AU	-16.1	145.3		26605	93
HKU(M)	3632-3	AU	-16.1	145.3		26605	93
HKU(M)	3633-1	AU	-16.1	145.3		26605	93
HKU(M)	3635-1	AU	-16.1	145.3		26605	93
HKU(M)	3636-1	AU	-16.1	145.3		26605	93
HKU(M)	3637-1	AU	-16.1	145.3		26605	93
HKU(M)	3639-1	AU	-16.1	145.3		26605	93
HKU(M)	3641-1	AU	-16.1	145.3		26605	93
HKU(M)	3642-1	AU	-16.1	145.3		26605	93
HKU(M)	3643-1	AU	-16.1	145.3		26605	93
HKU(M)	3643-2	AU	-16.1	145.3		26605	93
HKU(M)	3644-1	AU	-16.1	145.3		26605	93
HKU(M)	3645-1	AU	-16.1	145.3		26605	93
HKU(M)	3646	AU	-16.1	145.3		26605	93
HKU(M)	3648-1	AU	-16.9	145.7		26605	17
HKU(M)	3648-2	AU	-16.9	145.7		26605	17
HKU(M)	3648-3	AU	-16.9	145.7		26605	17
HKU(M)	3649-1	AU	-16.9	145.7		26605	17
HKU(M)	3650	AU	-16.9	145.7		26605	17
HKU(M)	3652	AU	-16.9	145.7		26605	17
HKU(M)	3654-1	AU	-16.9	145.7		26605	17
HKU(M)	3654-2	AU	-16.9	145.7		26605	17
HKU(M)	3656-1	HK	22.3	114.3		40614	33
HKU(M)	3656-2	HK	22.3	114.3		40614	33
HKU(M)	3657-1	HK	22.3	114.3		40614	33
HKU(M)	3659	HK	22.3	114.3		40614	33
HKU(M)	3660-1	HK	22.3	114.3		40614	33
HKU(M)	3660-2	HK	22.3	114.3		40614	33
HKU(M)	3661-1	HK	22.3	114.3		40614	33
HKU(M)	3661-2	HK	22.3	114.3		40614	33
HKU(M)	3662-1	HK	22.3	114.3		40614	33
HKU(M)	3663	HK	22.3	114.3		40614	33
HKU(M)	3664-1	HK	22.3	114.3		40614	33
HKU(M)	3664-2	HK	22.3	114.3		40614	33
HKU(M)	3667-1	HK	22.3	114.3		40614	33
HKU(M)	3667-2	HK	22.3	114.3		40614	33
HKU(M)	3668-1	HK	22.3	114.3		40614	33
HKU(M)	3668-2	HK	22.3	114.3		40614	33
HKU(M)	3670	HK	22.3	114.3		40614	33
HKU(M)	3672	HK	22.3	114.3		40614	33
HKU(M)	3675-1	HK	22.3	114.3		40614	33
HKU(M)	3675-2	HK	22.3	114.3		40614	33
HKU(M)	3675-3	HK	22.3	114.3		40614	33
HKU(M)	3677	HK	22.3	114.3		40614	33
HKU(M)	3678	HK	22.3	114.3		40614	33
HKU(M)	3679-1	HK	22.3	114.3		40614	33
HKU(M)	3679-2	HK	22.3	114.3		40614	33
HKU(M)	3679-3	HK	22.3	114.3		40614	33
HKU(M)	3680-1	HK	22.3	114.3		40614	33
HKU(M)	3680-2	HK	22.3	114.3		40614	33
HKU(M)	3681-1	HK	22.3	114.3		40614	33
HKU(M)	3682-1	HK	22.3	114.3		40614	33
HKU(M)	3683-1	HK	22.3	114.3		40614	33
HKU(M)	3683-2	HK	22.3	114.3		40614	33
HKU(M)	3683-3	HK	22.3	114.3		40614	33
HKU(M)	3684-1	HK	22.3	114.3		40614	33
HKU(M)	3684-2	HK	22.3	114.3		40614	33
HKU(M)	3684-3	HK	22.3	114.3		40614	33
HKU(M)	3684-4	HK	22.3	114.3		40614	33
HKU(M)	3684-5	HK	22.3	114.3		40614	33
HKU(M)	3685-1	HK	22.3	114.3		40614	33
HKU(M)	3685-2	HK	22.3	114.3		40614	33
HKU(M)	3686-1	HK	22.3	114.3		40614	33
HKU(M)	3687	HK	22.3	114.3		40614	33
HKU(M)	3688-1	HK	22.3	114.3		40614	33
HKU(M)	3689	HK	22.3	114.3		40614	33
HKU(M)	3691	HK	22.3	114.3		40614	33
HKU(M)	3692-1	HK	22.3	114.3		40614	33
HKU(M)	3692-2	HK	22.3	114.3		40614	33
HKU(M)	3695-1	HK	22.3	114.3		40614	33
HKU(M)	3696-1	HK	22.3	114.3		40614	33
HKU(M)	3696-2	HK	22.3	114.3		40614	33
HKU(M)	3700	HK	22.3	114.3		40614	33
HKU(M)	3701-1	HK	22.3	114.3		40614	33
HKU(M)	3701-2	HK	22.3	114.3		40614	33
HKU(M)	3701-3	HK	22.3	114.3		40614	33
HKU(M)	3704-1	HK	22.3	114.3		40614	33
HKU(M)	3704-2	HK	22.3	114.3		40614	33
HKU(M)	3707-1	HK	22.3	114.3		40614	33
HKU(M)	3707-2	HK	22.3	114.3		40614	33
HKU(M)	3707-3	HK	22.3	114.3		40614	33
HKU(M)	3707-4	HK	22.3	114.3		40614	33
HKU(M)	3709-1	HK	22.3	114.3		40614	33
HKU(M)	3709-2	HK	22.3	114.3		40614	33
HKU(M)	3709-3	HK	22.3	114.3		40614	33
HKU(M)	3709-4	HK	22.3	114.3		40614	33
HKU(M)	3710-1	HK	22.3	114.3		40614	33
HKU(M)	3710-2	HK	22.3	114.3		40614	33
HKU(M)	3710-3	HK	22.3	114.3		40614	33
HKU(M)	3711-1	HK	22.3	114.3		40614	33
HKU(M)	3711-2	HK	22.3	114.3		40614	33
HKU(M)	3712-1	HK	22.3	114.3		40614	33
HKU(M)	3713	HK	22.3	114.3		40614	33
HKU(M)	3714-1	HK	22.3	114.3		40614	33
HKU(M)	3714-2	HK	22.3	114.3		40614	33
HKU(M)	3715	HK	22.3	114.3		40614	33
HKU(M)	3717-1	HK	22.3	114.3		40614	33
HKU(M)	3720-1	HK	22.3	114.3		40614	33
HKU(M)	3726-1	HK	22.3	114.3		40614	33
HKU(M)	3733-1	HK	22.3	114.3		40614	33
HKU(M)	3735-1	HK	22.3	114.3		40614	33
HKU(M)	3735-2	HK	22.3	114.3		40614	33
HKU(M)	3735-3	HK	22.3	114.3		40614	33
HKU(M)	3735-4	HK	22.3	114.3		40614	33
HKU(M)	3736-1	HK	22.3	114.3		40614	33
HKU(M)	3736-2	HK	22.3	114.3		40614	33
HKU(M)	3738-1	HK	22.3	114.3		40614	33
HKU(M)	3740-1	HK	22.3	114.3		40614	33
HKU(M)	3740-2	HK	22.3	114.3		40614	33
HKU(M)	3740-3	HK	22.3	114.3		40614	33
HKU(M)	3740-4	HK	22.3	114.3		40614	33
HKU(M)	3741-1	HK	22.3	114.3		40614	33
HKU(M)	3741-2	HK	22.3	114.3		40614	33
HKU(M)	3741-3	HK	22.3	114.3		40614	33
HKU(M)	3741-4	HK	22.3	114.3		40614	33
HKU(M)	3742-1	HK	22.3	114.3		40614	33
HKU(M)	3744-1	HK	22.3	114.3		40614	33
HKU(M)	3744-2	HK	22.3	114.3		40614	33
HKU(M)	3745	HK	22.3	114.3		40614	33
HKU(M)	3747	HK	22.3	114.3		40614	33
HKU(M)	3748-1	HK	22.3	114.3		40614	33
HKU(M)	3748-2	HK	22.3	114.3		40614	33
HKU(M)	3748-3	HK	22.3	114.3		40614	33
HKU(M)	3749-1	HK	22.3	114.3		40614	33
HKU(M)	3750-1	HK	22.3	114.3		40614	33
HKU(M)	3751-1	HK	22.3	114.3		40614	33
HKU(M)	3751-2	AU	-16.9	145.7		26605	17
HKU(M)	3753	HK	22.3	114.3		40614	33
HKU(M)	3755	HK	22.3	114.3		40614	33
HKU(M)	3757	HK	22.3	114.3		40614	33
HKU(M)	3759-1	AU	-16.9	145.7		26605	17
HKU(M)	3761-1	AU	-16.9	145.7		26605	17
HKU(M)	3761-2	AU	-16.9	145.7		26605	17
HKU(M)	3761-3	AU	-16.9	145.7		26605	17
